,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,3.82,3.86,4.01,4.01,3.96,1.39,1.86,1.58,1.54,1.46,,1.0,1.36,1.69,1.63
d_1,3.04,0.41,4.07,4.27,3.55,3.28,1.81,1.4,1.81,,1.72,1.65,1.6,1.85,1.39,0.86
e_1,2.26,4.07,0.41,4.14,3.74,4.01,2.02,1.8,1.71,1.74,1.31,1.89,1.43,1.26,,2.39
c_1,3.1,3.32,3.51,0.38,5.05,3.78,1.63,1.95,,1.03,1.85,1.5,1.38,1.78,1.51,1.86
b_1,4.17,3.95,3.74,2.08,0.36,4.59,2.17,1.29,1.9,1.82,,2.1,1.17,1.96,1.66,1.03
a_1,3.77,3.73,3.8,3.12,1.93,0.31,2.67,2.36,1.35,1.72,1.89,2.05,1.55,,,
h_1,2.14,2.12,1.89,2.14,1.56,1.6,0.26,0.9,0.94,0.75,0.73,0.63,,0.77,0.73,0.67
g_1,1.99,1.97,2.0,1.74,3.07,1.46,0.74,0.24,0.9,0.89,0.76,0.79,0.55,1.15,0.7,
c_0,1.54,0.98,1.71,,1.56,1.65,0.85,0.93,0.28,0.87,0.83,0.65,0.7,1.02,0.95,0.47
d_0,1.58,,1.01,1.71,1.55,1.72,0.87,1.46,0.68,0.27,0.75,0.8,0.57,0.6,0.79,0.68
b_0,2.05,1.41,1.67,1.52,,1.56,0.86,0.86,0.51,0.75,0.27,0.84,0.49,1.03,0.72,0.54
f_0,,1.71,1.66,1.56,1.23,1.37,1.1,0.63,0.81,0.77,0.66,0.26,0.72,0.66,0.78,0.39
h_0,1.5,1.14,1.35,1.38,1.27,1.05,,0.8,0.49,0.53,0.66,0.49,,0.54,0.65,0.49
a_0,1.97,1.6,1.75,1.9,1.45,,0.96,0.79,0.55,0.9,0.44,0.66,0.69,0.23,,0.65
e_0,1.87,1.72,,1.68,1.78,,0.73,1.14,0.77,0.62,0.83,0.41,0.54,,0.21,
g_0,1.26,1.68,1.15,0.99,1.44,,0.57,,0.66,0.62,0.71,0.63,0.39,0.52,,
