,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,14.16,0.63,0.51,0.75,0.5,0.48,0.89,0.82,2.08,0.94,0.97,1.01,0.85,0.91,1.13,0.58
f_1,1.26,15.25,0.5,0.49,0.48,0.56,0.77,0.76,0.76,0.76,1.07,0.31,0.88,0.86,0.77,0.74
d_1,0.52,0.64,19.14,0.45,0.46,0.63,0.93,0.9,0.4,2.0,1.06,1.0,1.12,0.99,0.96,0.9
c_1,0.48,0.47,0.53,18.08,1.45,0.43,0.89,0.87,0.98,0.37,0.53,1.06,0.9,0.9,0.81,1.0
b_1,0.47,0.64,0.63,0.46,20.54,1.35,0.78,0.83,0.64,0.89,0.34,0.89,0.95,0.75,0.68,0.95
a_1,0.47,0.51,0.71,0.56,0.56,32.45,0.92,0.83,0.82,0.98,0.88,1.19,1.05,0.36,0.98,1.02
h_1,0.58,1.16,0.71,0.76,0.71,0.51,5.13,1.68,1.19,1.0,1.4,1.02,0.73,1.33,1.68,1.1
g_1,0.56,0.58,1.46,0.71,0.65,0.74,1.28,6.23,0.79,0.74,1.2,2.2,1.17,1.2,0.87,1.43
d_0,0.61,0.72,0.33,2.2,0.85,0.63,1.1,0.89,2.8,0.87,1.1,1.03,1.46,1.25,1.16,1.18
c_0,0.81,0.91,0.71,0.5,0.48,0.78,1.16,1.23,1.35,3.23,3.72,1.03,1.49,1.22,1.47,1.49
b_0,0.75,0.73,0.92,0.94,0.29,0.4,1.51,1.33,1.17,1.21,3.78,1.26,1.14,3.29,1.46,1.32
f_0,0.54,0.33,0.81,1.02,0.7,0.83,1.33,1.5,1.13,1.23,1.43,4.29,1.62,1.31,1.67,3.3
h_0,0.73,1.28,0.84,0.72,0.63,0.67,0.63,1.63,0.89,0.96,1.3,1.15,0.55,1.14,2.23,1.13
a_0,0.65,0.81,1.01,1.02,0.51,0.3,1.22,1.16,1.35,1.26,1.49,1.23,1.5,4.98,1.36,1.16
g_0,0.61,0.81,1.5,0.68,0.54,0.79,1.0,0.79,0.74,1.08,1.68,2.12,1.27,1.38,1.05,1.42
e_0,0.32,0.77,0.97,0.91,0.89,0.79,1.34,1.21,1.42,1.37,1.49,1.4,1.44,1.51,1.43,5.11
