,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.96,0.92,0.58,0.53,0.49,0.37,0.36,0.43,0.33,0.32,0.32,0.25,0.31,0.19,0.23,0.3
e_1,0.62,0.96,0.77,0.52,0.53,0.38,0.39,0.61,0.36,0.33,0.36,0.36,0.38,0.24,0.27,0.27
c_1,0.67,0.55,0.96,0.6,0.9,0.52,0.42,0.36,0.3,0.33,0.25,0.33,0.36,0.29,0.22,0.27
d_1,0.82,0.71,0.54,0.96,0.52,0.38,0.43,0.38,0.58,0.32,0.42,0.32,0.39,0.25,0.28,0.28
b_1,0.71,0.64,0.54,0.65,0.95,0.78,0.43,0.4,0.4,0.36,0.31,0.35,0.35,0.28,0.2,0.3
a_1,0.84,0.72,0.68,0.72,0.51,0.95,0.53,0.51,0.47,0.44,0.47,0.44,0.42,0.31,0.27,0.34
h_1,1.2,1.0,0.89,0.98,0.8,0.5,0.81,0.57,0.52,0.63,0.52,0.5,0.46,0.43,0.44,0.5
d_0,0.94,0.89,1.36,0.81,1.01,0.58,0.64,0.74,0.49,0.53,0.51,0.53,0.54,0.44,0.39,0.47
c_0,1.15,1.06,1.0,0.91,0.74,0.65,0.73,0.71,0.75,0.61,0.89,0.52,0.58,0.43,0.5,0.5
g_1,1.06,1.04,0.98,1.21,0.77,0.59,0.58,0.6,0.59,0.79,0.52,0.67,0.5,0.48,0.44,0.4
b_0,1.28,1.12,1.15,0.93,0.75,0.47,0.69,0.72,0.52,0.62,0.75,0.5,0.67,0.43,0.76,0.52
f_0,1.14,0.93,1.12,1.14,0.91,0.67,0.7,0.7,0.66,0.55,0.62,0.73,0.57,0.75,0.49,0.47
h_0,1.4,1.11,1.06,1.09,0.88,0.71,0.64,0.72,0.64,0.72,0.62,0.55,0.58,0.42,0.44,0.62
e_0,1.38,1.05,1.15,1.24,1.05,0.77,0.74,0.67,0.72,0.62,0.61,0.56,0.64,0.67,0.52,0.61
a_0,1.39,1.19,1.24,1.07,1.19,0.55,0.78,0.89,0.68,0.6,0.58,0.58,0.74,0.56,0.69,0.57
g_0,1.23,1.16,1.12,1.54,0.97,0.72,0.73,0.68,0.78,0.61,0.66,0.79,0.62,0.54,0.52,0.49
