,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.47,0.27,0.15,0.19,0.14,0.08,0.21,0.21,0.22,0.19,0.23,,0.22,0.12,0.13,0.16
e_1,0.14,1.49,0.19,0.17,0.14,0.16,0.22,0.28,0.19,0.24,0.13,0.18,0.18,0.17,,0.2
d_1,0.18,0.17,1.52,0.14,0.14,0.16,0.19,,0.15,0.35,0.2,0.18,0.22,0.21,0.17,0.14
c_1,0.19,0.17,0.18,1.54,0.21,0.16,0.22,0.2,0.12,,0.19,0.21,0.3,0.15,0.15,0.15
b_1,0.21,0.25,0.18,0.17,1.61,,0.22,0.23,0.2,0.16,,0.14,0.18,,,0.17
a_1,0.24,0.16,0.2,0.15,,1.75,0.16,0.28,,0.28,0.21,0.25,0.24,,,0.28
h_1,0.53,0.34,0.45,0.31,0.3,0.37,1.62,0.47,0.66,0.46,0.35,0.33,,0.32,0.4,0.6
d_0,0.6,0.5,,0.81,0.35,0.27,0.51,1.4,0.36,0.49,0.48,0.44,0.56,0.44,0.42,0.65
g_1,0.34,0.34,0.53,0.5,0.41,,0.29,0.53,1.73,0.47,0.53,0.62,0.46,0.36,0.43,
c_0,0.51,0.4,0.34,,0.47,0.26,0.67,0.49,0.5,1.45,0.79,0.47,0.7,0.47,0.48,0.71
b_0,0.33,0.62,0.51,0.41,,0.32,0.69,0.56,0.59,0.52,1.47,0.64,0.66,0.78,0.57,0.41
f_0,,0.49,0.56,0.43,0.7,0.33,0.59,0.69,0.45,0.61,0.53,1.49,0.6,0.42,0.85,0.44
h_0,0.75,0.66,0.5,0.44,0.64,0.6,,0.84,0.63,0.73,0.74,0.58,,0.73,0.7,0.72
a_0,0.61,0.4,0.47,0.53,,,0.84,0.6,0.63,0.62,0.45,0.63,0.5,1.63,,0.57
e_0,0.56,,0.48,0.42,,,0.73,0.83,0.61,0.64,0.5,0.52,0.62,,1.63,
g_0,0.61,0.53,1.0,0.69,0.85,0.43,0.58,0.61,,0.5,0.86,1.0,0.62,0.71,,
