,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,5.69,0.68,0.56,0.68,0.62,0.52,2.65,2.0,5.07,2.07,3.16,2.6,4.04,3.47,2.48,1.16
f_1,1.1,5.86,0.5,0.55,0.5,0.58,2.13,2.29,3.09,3.52,3.13,0.77,3.81,3.39,2.14,2.83
d_1,0.59,0.62,6.39,0.47,0.63,0.45,2.01,2.08,0.9,5.84,3.28,3.15,4.65,4.41,3.51,2.91
c_1,0.57,0.56,0.68,6.57,1.02,0.58,2.36,2.2,2.56,0.77,1.72,2.63,4.78,4.12,3.39,2.64
b_1,0.51,0.64,0.6,0.65,7.2,1.06,1.61,1.79,2.91,3.27,1.01,3.29,5.49,4.45,2.51,3.1
a_1,0.61,0.61,0.48,0.64,0.68,10.71,2.35,2.28,2.91,1.97,3.22,2.97,4.1,4.52,0.96,2.5
h_1,0.84,1.35,1.16,0.97,1.09,0.88,14.32,4.1,4.37,4.19,6.07,6.46,2.47,9.3,6.31,6.36
g_1,0.86,1.0,1.62,1.17,0.75,0.85,3.78,18.29,3.69,3.87,4.46,8.89,6.61,2.98,5.81,5.89
d_0,1.06,1.15,0.34,1.9,1.21,0.99,3.61,4.09,13.02,3.56,4.63,6.65,8.04,7.31,5.25,6.03
c_0,1.22,1.03,1.31,0.49,0.64,1.14,4.72,5.33,5.54,14.7,11.55,6.94,6.59,10.35,6.62,4.12
b_0,0.99,1.14,1.19,1.47,0.36,0.95,5.08,3.79,5.57,3.65,16.89,5.01,7.93,9.24,10.78,6.14
f_0,0.91,0.52,1.26,1.18,1.06,1.1,3.6,4.65,4.88,5.35,5.81,17.01,8.67,10.82,6.47,13.7
h_0,0.89,1.71,1.01,1.03,0.94,1.12,1.65,4.52,5.2,4.34,4.82,4.44,2.6,9.44,6.29,5.24
g_0,0.8,0.94,2.0,0.99,1.06,0.99,3.75,1.29,3.7,3.45,5.81,7.34,7.04,3.55,4.57,4.58
a_0,1.09,1.1,1.11,1.33,0.91,0.75,4.02,3.91,5.15,6.96,6.79,5.79,10.16,9.34,23.46,4.62
e_0,0.41,1.09,1.1,1.44,1.15,1.31,4.46,4.2,4.87,6.0,6.0,7.06,7.95,8.54,5.89,25.34
