,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.26,0.03,0.02,0.03,0.03,0.02,0.05,0.05,0.12,0.06,0.05,0.07,0.07,0.03,,0.07
d_1,0.03,2.3,0.03,0.03,0.03,0.02,0.07,0.06,,0.11,0.07,0.06,0.05,0.04,0.05,0.06
f_1,0.05,0.03,2.3,0.03,0.03,0.02,0.05,0.04,0.07,0.07,0.05,,0.07,0.07,0.03,0.06
c_1,0.04,0.02,0.04,2.39,0.05,0.02,0.05,0.04,0.06,,0.05,0.03,0.09,0.07,0.04,0.06
b_1,0.03,0.03,0.03,0.03,2.47,0.04,0.06,0.06,0.07,0.08,,0.05,0.08,,0.04,0.05
a_1,0.02,0.03,0.01,0.03,0.03,2.98,0.05,0.05,0.06,0.08,0.06,0.08,0.09,,,0.09
h_1,0.11,0.08,0.16,0.09,0.09,0.13,2.73,0.23,0.25,0.27,0.2,0.17,,0.18,0.15,0.3
g_1,0.1,0.2,0.08,0.13,0.08,0.05,0.2,2.8,0.21,0.22,0.17,0.35,0.27,0.17,0.16,
d_0,0.16,,0.17,0.23,0.14,0.09,0.24,0.3,2.05,0.26,0.27,0.25,0.44,0.22,0.22,0.35
c_0,0.18,0.16,0.15,,0.12,0.09,0.24,0.24,0.24,1.92,0.65,0.28,0.45,0.22,0.3,0.22
b_0,0.14,0.13,0.15,0.15,,0.12,0.24,0.31,0.32,0.32,2.14,0.23,0.32,0.48,0.29,0.27
f_0,0.14,0.16,,0.1,0.13,0.11,0.31,0.23,0.33,0.25,0.3,2.23,0.37,0.29,0.53,0.38
h_0,0.18,0.29,0.34,0.21,0.19,0.11,,0.45,0.42,0.36,0.48,0.45,,0.27,0.35,0.74
a_0,0.13,0.08,0.12,0.19,,,0.35,0.26,0.25,0.33,0.3,0.34,0.5,2.42,0.24,0.34
e_0,,0.2,0.14,0.1,0.1,,0.33,0.19,0.43,0.4,0.39,0.25,0.42,0.3,2.66,
g_0,0.2,0.28,0.18,0.24,0.14,0.16,0.4,,0.38,0.67,0.51,0.7,0.54,0.33,,
