,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.74,0.44,0.44,0.35,0.25,0.26,0.27,0.25,0.21,0.24,0.17,0.24,0.18,0.2,0.12
e_1,0.42,0.95,0.4,0.48,0.43,0.33,0.29,0.25,0.49,0.28,0.29,0.27,0.23,0.2,0.23,0.14
d_1,0.55,0.44,0.95,0.4,0.38,0.3,0.35,0.26,0.2,0.43,0.33,0.25,0.29,0.21,0.19,0.2
c_1,0.54,0.47,0.42,0.94,0.63,0.31,0.33,0.25,0.23,0.2,0.2,0.27,0.26,0.23,0.2,0.17
b_1,0.55,0.49,0.44,0.42,0.94,0.57,0.36,0.26,0.31,0.29,0.18,0.23,0.32,0.17,0.26,0.2
a_1,0.69,0.5,0.59,0.48,0.39,0.94,0.38,0.34,0.33,0.35,0.34,0.29,0.39,0.19,0.25,0.2
h_1,1.05,0.72,0.74,0.68,0.53,0.38,0.75,0.55,0.48,0.43,0.42,0.34,0.31,0.31,0.46,0.29
g_1,0.77,0.76,1.03,0.74,0.61,0.48,0.47,0.74,0.46,0.44,0.42,0.54,0.4,0.35,0.3,0.3
d_0,0.89,0.64,0.59,1.26,0.6,0.51,0.51,0.39,0.67,0.35,0.5,0.36,0.43,0.34,0.37,0.39
c_0,1.02,0.73,0.8,0.62,0.48,0.46,0.57,0.51,0.5,0.67,0.79,0.37,0.54,0.42,0.45,0.4
b_0,0.98,0.76,0.82,0.88,0.5,0.46,0.6,0.55,0.5,0.42,0.68,0.39,0.46,0.62,0.4,0.34
f_0,0.72,0.64,0.97,0.82,0.71,0.57,0.6,0.4,0.56,0.63,0.54,0.67,0.48,0.39,0.41,0.62
h_0,1.25,0.89,0.88,0.81,0.67,0.48,0.45,0.62,0.5,0.44,0.51,0.43,0.42,0.37,0.53,0.3
a_0,1.21,0.79,0.93,0.8,0.75,0.4,0.67,0.51,0.54,0.45,0.46,0.49,0.56,0.64,0.45,0.41
g_0,0.9,0.78,1.31,0.88,0.71,0.56,0.47,0.45,0.56,0.5,0.6,0.72,0.49,0.42,0.4,0.4
e_0,1.39,0.82,0.83,1.03,0.66,0.58,0.67,0.56,0.56,0.51,0.62,0.38,0.68,0.49,0.49,0.62
