,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.66,0.76,0.57,0.47,0.58,0.68,1.0,0.44,1.69,0.88,1.17,1.05,0.92,1.13,1.07,0.92
f_1,0.57,2.58,1.19,0.66,0.5,0.57,0.93,0.88,0.91,0.78,0.93,0.43,0.97,0.77,0.58,0.77
e_1,0.55,0.7,2.76,0.77,0.65,0.6,0.77,1.73,0.87,0.87,0.86,0.94,1.02,0.97,0.53,1.02
c_1,0.7,0.57,0.59,2.87,1.23,0.45,0.86,0.87,0.4,0.85,0.68,0.92,0.91,0.95,1.01,0.99
b_1,0.67,0.61,0.55,0.7,3.2,1.24,0.91,1.01,0.69,0.88,0.5,0.94,0.82,0.6,1.0,0.78
a_1,0.72,0.85,0.61,0.68,0.44,4.28,0.92,0.82,0.82,0.93,0.94,0.94,1.08,0.5,0.84,1.02
h_1,0.86,1.12,0.77,0.8,0.75,0.77,2.62,0.94,1.08,1.31,1.03,1.14,0.72,1.05,1.23,1.41
d_0,0.36,0.71,0.7,1.48,0.91,0.93,1.09,2.03,0.85,1.06,1.27,1.08,1.21,1.22,1.11,1.3
c_0,0.97,0.84,0.79,0.55,0.63,0.75,1.31,1.13,2.06,1.22,2.19,1.37,1.21,1.57,1.18,1.28
g_1,1.32,0.64,0.59,0.82,0.84,0.67,1.04,0.88,1.07,3.21,1.18,1.96,1.21,0.86,1.3,0.85
b_0,0.93,0.9,0.8,0.87,0.39,0.55,1.29,1.06,1.33,1.2,2.59,1.27,1.49,2.62,1.46,1.36
f_0,1.02,0.46,0.67,0.84,0.93,0.58,1.06,0.93,1.36,1.35,1.33,2.58,1.31,1.21,2.88,1.15
h_0,0.82,1.1,0.7,0.79,0.78,0.85,0.7,1.03,1.14,1.6,1.33,1.13,0.72,1.3,1.24,1.72
a_0,0.96,0.86,0.8,0.92,0.65,0.35,1.32,1.18,1.24,1.19,1.39,1.14,1.43,3.22,1.38,1.21
e_0,0.95,0.88,0.55,0.82,0.95,0.63,1.06,1.09,1.39,1.16,1.12,1.31,1.5,1.4,3.22,1.68
g_0,1.37,0.72,0.53,0.77,0.83,0.78,0.98,0.81,1.17,0.79,1.18,1.87,1.11,1.15,1.52,0.98
