,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.35,0.9,0.71,0.58,0.76,0.69,1.61,1.49,1.16,3.23,2.06,1.78,2.24,1.7,2.08,1.59
f_1,0.79,2.36,1.44,0.76,0.63,0.5,1.48,1.36,1.68,1.61,1.53,0.87,2.21,1.37,1.98,0.84
e_1,0.74,0.9,2.35,0.91,0.82,0.64,1.6,1.36,3.08,1.75,1.81,1.55,1.88,1.39,1.78,0.91
c_1,0.82,0.77,0.77,2.57,1.42,0.53,1.54,1.51,1.56,0.81,1.08,1.82,2.25,1.41,1.76,1.28
b_1,0.85,0.84,0.83,0.82,2.63,1.28,1.22,1.1,1.61,1.53,1.02,1.61,1.88,1.22,2.0,1.37
a_1,0.97,0.82,0.78,0.85,0.76,3.12,1.67,1.5,1.69,1.66,1.81,1.63,2.27,1.01,2.14,1.54
h_1,1.02,1.26,0.91,0.92,0.71,0.58,3.24,2.06,1.63,1.82,1.48,1.51,1.64,1.55,2.37,1.55
g_1,1.42,0.9,0.8,0.83,0.77,0.55,1.56,3.49,1.64,2.02,1.73,2.56,2.2,1.46,1.33,1.91
d_0,0.68,0.97,0.91,1.68,0.81,0.57,1.75,1.46,2.97,1.44,1.8,1.41,2.26,1.3,1.86,1.65
c_0,1.1,1.1,0.87,0.62,0.66,0.7,2.0,1.55,1.95,3.02,3.46,1.76,2.59,2.03,2.03,2.03
b_0,1.15,1.09,0.89,0.89,0.49,0.65,1.91,1.55,1.73,1.79,3.12,1.74,2.51,3.03,2.44,1.5
f_0,1.09,0.77,0.81,0.82,0.78,0.79,1.76,1.55,2.02,2.12,2.0,3.43,2.27,1.8,2.24,3.61
h_0,1.1,1.34,0.96,0.79,0.71,0.62,1.01,1.95,1.67,1.73,2.06,1.81,1.96,1.65,2.77,1.35
a_0,1.0,1.11,0.88,0.95,0.81,0.35,1.84,1.57,2.23,2.08,2.15,1.69,2.73,3.43,2.25,1.55
g_0,1.41,0.85,0.83,0.86,0.78,0.66,1.48,1.14,1.64,2.0,1.97,2.76,2.3,1.74,1.81,1.75
e_0,1.11,1.09,0.75,0.84,0.88,0.7,1.83,1.69,1.71,1.74,2.17,1.84,2.76,1.78,1.96,3.4
