,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.67,0.94,1.28,1.58,1.34,1.34,0.67,0.72,0.68,0.45,0.55,0.55,0.58,0.45,0.44,0.92
f_1,1.49,0.67,1.2,1.33,1.4,1.16,0.52,0.49,0.74,0.5,0.42,0.68,0.46,0.3,0.43,0.33
d_1,1.74,1.63,0.65,1.26,1.23,1.24,0.61,0.86,0.43,0.61,0.52,0.49,0.45,0.4,0.31,0.46
c_1,1.23,1.51,1.88,0.64,1.77,1.23,0.69,0.32,0.64,0.74,0.48,0.47,0.44,0.43,0.36,0.44
b_1,1.89,1.69,1.71,0.99,0.6,2.09,0.74,0.54,0.79,0.58,1.16,0.68,0.56,0.66,0.52,0.6
a_1,1.67,2.18,1.85,2.08,0.95,0.57,0.91,0.68,0.84,0.65,0.89,0.71,1.21,0.51,0.69,0.62
h_1,2.21,2.16,2.02,2.02,2.1,1.85,0.59,0.81,0.94,0.74,0.74,0.74,0.7,0.8,0.61,0.71
d_0,1.35,2.69,3.32,2.92,2.94,2.12,1.18,0.64,1.21,0.75,0.9,0.83,0.79,0.65,0.7,0.83
g_1,2.22,2.15,2.93,2.31,2.12,2.35,0.95,0.81,0.55,1.0,0.92,0.99,0.93,0.53,1.1,0.82
c_0,2.73,2.38,1.56,4.05,2.69,2.02,1.2,1.27,0.98,0.62,1.07,0.97,0.95,0.84,0.85,0.78
b_0,2.06,3.22,2.31,2.9,4.09,2.06,1.21,1.01,1.0,0.57,0.6,0.84,1.07,0.79,0.66,0.96
f_0,2.3,4.58,2.37,2.66,2.36,2.08,1.15,1.01,0.74,0.86,0.91,0.58,0.95,0.78,0.55,1.05
a_0,2.46,2.95,2.63,3.38,3.28,3.52,1.34,1.18,1.19,1.03,0.61,0.85,0.57,0.86,0.75,1.0
h_0,2.38,3.17,2.61,3.17,2.46,2.34,1.66,1.08,1.54,0.9,1.04,1.02,0.89,1.12,0.84,0.87
g_0,2.76,3.26,2.92,3.63,2.92,1.85,1.2,1.13,1.33,0.83,0.98,1.07,1.06,0.68,1.04,0.84
e_0,3.42,4.58,2.82,2.94,2.7,2.52,1.28,1.11,1.07,1.16,1.0,0.63,1.05,0.93,0.95,0.58
