,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.71,0.83,0.73,0.99,0.83,0.7,0.95,0.94,1.5,0.91,0.99,0.94,0.95,0.96,0.82,0.99
f_1,1.27,1.74,0.81,0.76,0.69,0.67,0.94,0.89,0.94,0.82,0.75,0.97,0.93,0.95,0.66,0.84
d_1,0.78,0.92,2.05,0.65,0.75,0.81,1.03,0.97,0.68,1.66,0.97,1.17,1.01,1.08,1.1,0.98
c_1,0.73,0.81,0.83,2.02,1.3,0.78,0.97,0.89,0.89,0.68,0.85,0.66,0.96,0.83,0.88,0.95
b_1,0.76,0.8,0.73,0.85,2.12,1.39,0.9,0.92,0.9,0.89,0.99,0.82,1.02,0.8,0.98,0.9
a_1,0.78,0.85,0.85,0.82,0.79,2.88,0.99,0.97,1.08,0.98,1.06,1.11,1.18,0.89,0.91,1.01
h_1,0.84,1.05,1.0,0.73,0.8,0.78,1.69,1.27,0.85,1.04,1.09,1.03,0.85,1.08,1.18,1.28
g_1,0.75,0.82,1.31,0.94,0.76,0.76,0.88,2.0,0.8,1.11,1.54,1.03,1.04,1.09,1.35,0.99
d_0,0.84,0.84,0.71,1.52,0.92,0.72,0.92,0.97,1.49,0.73,1.01,0.97,0.93,0.98,1.05,1.13
c_0,0.88,0.97,0.9,0.71,0.64,0.99,1.12,1.11,0.99,1.51,1.12,2.03,1.08,1.48,1.4,1.31
f_0,0.75,0.77,0.99,0.95,0.83,0.82,1.09,1.23,1.01,1.03,1.71,1.22,1.13,1.07,2.26,1.09
b_0,0.9,0.97,0.95,0.94,0.65,0.7,1.05,1.08,0.95,0.98,1.25,1.64,1.08,2.05,1.21,1.33
h_0,0.85,1.14,0.93,0.89,0.82,0.74,0.88,1.29,0.82,0.98,1.11,1.01,0.85,0.93,1.17,1.37
a_0,0.87,1.04,0.96,0.81,0.94,0.53,1.15,1.01,0.94,1.0,1.25,1.03,1.31,1.98,1.2,1.31
e_0,0.74,0.88,0.99,0.96,0.91,0.89,1.05,1.16,0.87,1.05,1.1,1.07,1.11,1.1,2.08,1.23
g_0,0.79,0.79,1.29,0.84,0.8,0.86,1.17,0.99,0.86,1.07,1.51,0.99,1.1,0.96,1.33,0.91
