,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.16,0.35,0.69,0.89,0.72,0.7,0.19,0.24,0.15,0.13,0.17,0.13,0.09,0.27,0.12,0.15
f_1,0.64,0.16,0.56,0.66,0.64,0.63,0.14,0.26,0.15,0.13,0.28,0.14,0.07,0.14,0.1,0.11
d_1,0.78,0.69,0.15,0.73,0.6,0.62,0.17,0.11,0.35,0.11,0.12,0.13,0.1,0.14,0.06,0.12
c_1,0.54,0.81,0.89,0.15,0.66,0.66,0.19,0.16,0.07,0.2,0.11,0.13,0.09,0.12,0.1,0.12
b_1,0.61,0.69,0.73,0.39,0.14,0.65,0.22,0.21,0.14,0.19,0.14,0.27,0.12,0.16,0.12,0.19
a_1,0.76,0.92,0.7,0.6,0.36,0.1,0.19,0.24,0.15,0.17,0.14,0.14,0.11,0.12,0.09,0.22
h_1,0.53,0.51,0.48,0.52,0.59,0.45,0.06,0.15,0.12,0.1,0.11,0.11,0.13,0.09,0.07,0.09
g_1,0.55,0.6,0.51,0.55,0.52,0.47,0.12,0.05,0.1,0.1,0.12,0.11,0.06,0.11,0.1,0.09
d_0,0.3,0.63,0.85,0.49,0.5,0.5,0.17,0.17,0.06,0.11,0.13,0.12,0.07,0.13,0.09,0.11
c_0,0.51,0.55,0.3,1.27,0.58,0.45,0.14,0.16,0.15,0.06,0.11,0.11,0.08,0.11,0.07,0.1
f_0,0.48,1.03,0.47,0.5,0.71,0.44,0.15,0.09,0.1,0.09,0.05,0.1,0.08,0.1,0.04,0.11
b_0,0.48,0.52,0.39,0.74,1.17,0.5,0.14,0.13,0.14,0.05,0.11,0.05,0.08,0.11,0.07,0.09
h_0,0.5,0.49,0.56,0.52,0.46,0.52,0.22,0.13,0.1,0.1,0.12,0.1,0.11,0.1,0.08,0.09
e_0,0.76,0.83,0.48,0.49,0.48,0.52,0.17,0.12,0.13,0.1,0.05,0.1,0.08,0.04,0.07,0.07
g_0,0.55,0.64,0.43,0.58,0.55,0.42,0.11,0.2,0.12,0.1,0.1,0.09,0.06,0.11,0.1,0.1
a_0,0.51,0.52,0.44,0.54,0.77,0.71,0.15,0.15,0.1,0.09,0.1,0.05,0.08,0.11,0.09,0.04
