,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.17,10.51,14.96,12.61,11.09,15.7,2.34,4.25,2.56,5.19,,2.24,0.96,1.96,3.09,
d_1,14.71,0.17,18.62,12.46,12.21,,4.46,2.72,,2.73,2.78,1.93,1.71,0.97,2.88,1.94
e_1,6.2,13.23,0.17,13.37,15.08,13.8,3.86,3.32,2.31,3.31,3.05,3.47,1.91,1.92,2.44,
c_1,11.15,16.91,13.37,0.16,11.37,,2.98,3.61,1.46,,2.68,2.57,2.21,1.63,2.19,3.35
b_1,15.44,13.35,12.8,6.63,0.14,13.03,4.04,4.45,2.69,2.53,2.06,,1.57,2.28,,3.53
a_1,10.47,,13.14,,7.82,0.09,4.03,3.69,2.19,1.99,2.41,2.65,1.78,,,
h_1,3.16,3.67,3.09,3.63,3.5,3.27,0.07,1.3,0.56,0.55,0.66,0.7,,0.44,0.55,0.59
g_1,3.78,3.05,4.33,4.26,4.23,3.95,0.69,0.06,0.61,0.6,0.83,0.9,0.29,,0.6,0.67
d_0,2.77,,1.63,2.13,2.6,2.77,0.69,0.66,0.08,0.51,0.72,0.39,0.45,0.33,0.65,0.53
c_0,2.94,1.41,2.27,,2.62,1.99,0.86,0.54,0.59,0.08,0.43,0.74,0.41,0.29,0.68,0.51
f_0,,2.45,2.5,2.68,2.6,2.54,0.79,0.43,0.98,0.41,0.07,0.58,0.3,0.25,0.45,0.69
b_0,2.3,2.15,2.46,2.88,,2.65,0.76,0.67,0.56,0.31,0.44,0.07,0.49,0.33,0.66,0.43
h_0,1.84,1.29,1.33,1.6,1.67,1.69,,0.47,0.39,0.29,0.4,0.29,,0.39,0.3,0.29
g_0,2.04,1.94,1.73,1.87,1.75,,0.3,,0.39,0.37,0.31,0.38,0.18,,0.35,0.28
a_0,2.19,2.73,4.27,2.54,,,0.71,0.86,0.51,0.42,0.5,0.3,0.45,0.43,0.04,
e_0,,3.6,,2.04,2.23,,0.52,0.62,0.56,0.51,0.24,0.38,0.41,0.36,,0.04
