,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,14.0,0.64,0.43,0.71,0.56,0.57,0.79,2.24,0.9,0.81,1.13,1.08,0.8,0.92,0.41,1.02
f_1,1.19,15.94,0.58,0.5,0.43,0.44,0.78,0.73,0.82,0.92,0.88,0.32,0.95,0.96,0.63,0.74
d_1,0.54,0.56,19.51,0.4,0.5,0.52,1.0,0.37,0.96,2.22,1.1,1.03,1.07,1.04,1.3,1.09
c_1,0.5,0.51,0.54,17.3,1.29,0.62,0.87,0.81,0.7,0.3,0.64,0.91,0.84,1.01,0.86,1.12
b_1,0.41,0.58,0.69,0.59,19.96,1.33,0.77,0.88,0.84,0.73,0.29,0.95,0.68,0.88,1.18,0.73
a_1,0.58,0.63,0.46,0.73,0.58,30.06,1.0,0.69,0.86,0.87,1.1,0.97,0.38,0.87,0.92,0.76
h_1,0.77,1.29,0.77,0.67,0.68,0.56,4.98,0.98,1.22,0.97,1.12,1.02,1.27,0.68,1.14,1.62
d_0,0.61,0.7,0.36,2.21,0.68,0.74,1.0,3.01,1.21,0.73,1.35,1.24,1.22,1.32,1.04,1.0
g_1,0.56,0.48,1.53,0.77,0.67,0.64,1.28,0.96,6.42,1.41,1.2,2.1,1.37,1.29,1.38,0.89
c_0,0.73,0.81,0.97,0.5,0.4,0.6,1.4,1.26,1.35,3.31,3.47,1.34,1.56,1.31,1.38,1.43
b_0,0.68,0.93,0.75,0.85,0.4,0.55,1.47,1.24,1.43,1.19,3.51,1.38,3.39,1.27,1.28,1.31
f_0,0.42,0.4,1.02,0.94,0.8,0.77,1.45,1.23,1.23,1.25,1.5,3.71,1.56,1.35,3.62,1.54
a_0,0.91,0.69,0.76,0.87,0.75,0.51,1.41,1.17,1.11,0.97,1.05,1.3,4.77,1.34,1.36,1.08
h_0,0.71,1.19,0.87,0.71,0.62,0.55,0.57,1.09,1.71,1.17,1.09,1.22,1.19,0.78,1.21,2.0
e_0,0.32,0.8,0.97,0.74,0.75,1.04,1.22,0.97,1.27,1.52,1.52,1.43,1.33,1.61,4.33,1.37
g_0,0.59,0.61,1.61,0.73,0.89,0.54,1.12,0.89,0.62,0.99,1.15,2.4,1.17,1.3,1.53,0.74
