,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,1.47,1.08,1.36,1.25,1.01,0.47,0.48,0.52,0.71,0.52,0.61,0.41,0.31,0.37,0.41
e_1,0.82,0.65,1.42,1.45,1.36,1.54,0.59,0.5,0.6,0.71,0.51,0.58,0.47,0.39,0.75,0.4
d_1,1.64,1.48,0.64,1.34,1.24,1.12,0.63,0.5,0.71,0.4,0.48,0.51,0.45,0.4,0.51,0.28
c_1,1.49,1.18,1.64,0.63,1.6,1.14,0.58,0.62,0.3,0.54,0.45,0.48,0.47,0.38,0.45,0.33
b_1,1.44,1.46,1.45,0.84,0.63,1.75,0.73,0.64,0.53,0.7,0.84,0.45,0.47,0.5,0.43,0.51
a_1,1.94,1.51,1.76,1.89,0.89,0.58,0.85,0.6,0.66,0.74,0.6,0.56,0.72,0.45,0.62,0.46
h_1,2.1,1.9,1.82,2.06,2.15,1.61,0.57,0.74,0.8,0.84,0.7,0.65,0.64,0.81,0.61,0.61
c_0,2.08,2.24,1.36,2.92,2.17,2.0,1.0,0.61,1.02,0.99,0.99,0.8,0.83,0.62,0.69,0.59
d_0,2.17,1.29,3.34,2.66,2.32,2.03,0.91,0.84,0.62,1.02,0.81,0.83,0.73,0.62,0.75,0.71
g_1,2.05,1.94,2.53,2.33,2.07,1.81,0.88,0.73,0.85,0.54,0.76,0.87,0.77,0.53,0.71,0.8
b_0,2.08,2.07,1.91,3.02,2.82,1.98,0.91,0.54,0.96,0.98,0.6,0.88,0.92,0.62,0.7,0.63
f_0,3.48,2.04,2.13,2.1,2.6,2.17,1.08,0.9,0.88,0.68,0.77,0.57,0.97,0.67,0.96,0.47
a_0,2.84,2.59,2.21,2.67,3.19,3.69,1.13,0.77,1.13,1.01,0.59,0.93,0.59,0.82,0.94,0.81
h_0,3.11,2.39,2.46,3.03,2.25,2.3,1.3,0.92,1.05,1.14,1.0,0.87,0.8,0.95,0.79,0.82
e_0,3.94,3.34,2.26,2.62,2.43,2.22,1.26,0.98,1.08,1.1,1.1,0.53,0.98,0.72,0.55,0.68
g_0,3.22,2.64,2.74,3.67,2.25,2.36,1.04,0.95,1.07,1.28,0.95,0.97,0.94,0.65,0.85,0.96
