,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.7,0.96,0.96,0.77,0.77,0.5,0.57,0.41,0.45,0.43,0.4,0.36,0.36,,0.34
f_1,1.42,1.0,1.08,0.63,1.13,0.67,0.42,0.54,0.4,0.49,0.42,,0.35,0.31,,
c_1,1.04,0.93,1.0,1.09,1.34,0.69,0.63,0.31,,0.53,0.46,0.3,0.36,0.32,0.35,0.34
d_1,1.05,1.59,0.92,1.0,0.88,0.67,0.49,,0.64,0.36,0.41,0.43,0.33,0.41,,0.25
b_1,1.3,0.88,0.75,1.13,1.0,1.2,0.6,0.58,0.5,0.45,,0.52,0.4,0.35,,0.29
a_1,1.3,1.5,1.44,1.5,0.83,1.0,0.62,0.55,0.55,0.61,0.51,0.67,,0.56,,0.41
h_1,2.0,2.36,1.59,2.04,1.68,1.61,1.0,0.76,1.02,1.04,0.71,0.84,0.64,,0.59,0.8
d_0,1.75,1.85,3.2,,1.74,1.82,1.32,1.0,1.04,0.86,0.93,0.78,0.68,0.96,0.58,0.67
c_0,2.42,2.47,,1.57,2.0,1.82,0.98,0.96,1.0,1.02,1.2,0.92,0.81,0.75,0.74,0.72
g_1,2.22,2.04,1.9,2.77,2.25,1.63,0.96,1.16,0.98,1.0,0.96,1.1,0.57,0.82,0.66,
b_0,2.35,2.39,2.16,2.45,,1.96,1.42,1.08,0.83,1.05,1.0,0.95,1.12,0.76,0.92,0.78
f_0,2.51,,3.31,2.31,1.91,1.5,1.19,1.28,1.09,0.91,1.05,1.0,0.91,0.75,1.14,0.63
a_0,2.82,2.83,2.82,2.99,2.49,,1.55,1.47,1.23,1.75,0.89,1.1,1.0,0.91,,
h_0,2.76,3.2,3.09,2.43,2.88,1.8,,1.05,1.34,1.23,1.32,1.33,1.1,,0.87,0.99
e_0,,,2.82,,,,1.69,1.72,1.35,1.52,1.09,0.88,,1.15,1.0,1.02
g_0,2.98,,2.96,4.04,3.39,2.44,1.25,1.5,1.39,,1.28,1.58,,1.01,0.98,
