,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.45,0.35,0.5,0.4,0.29,0.29,0.48,0.28,0.28,0.3,0.3,0.29,0.22,0.15,0.21
f_1,0.73,0.94,0.41,0.43,0.31,0.27,0.31,0.29,0.29,0.24,0.28,0.18,0.21,0.17,0.16,0.25
d_1,0.55,0.51,0.95,0.33,0.39,0.31,0.31,0.17,0.47,0.23,0.29,0.27,0.26,0.21,0.18,0.21
c_1,0.46,0.45,0.48,0.95,0.66,0.3,0.29,0.27,0.15,0.24,0.25,0.25,0.25,0.16,0.21,0.22
b_1,0.45,0.56,0.47,0.41,0.94,0.58,0.32,0.34,0.33,0.34,0.25,0.29,0.27,0.19,0.21,0.21
a_1,0.59,0.67,0.54,0.51,0.33,0.94,0.41,0.39,0.29,0.22,0.32,0.28,0.29,0.15,0.24,0.29
h_1,0.71,0.97,0.76,0.62,0.54,0.41,0.76,0.43,0.47,0.5,0.46,0.42,0.31,0.31,0.24,0.42
d_0,0.71,0.81,0.61,1.1,0.66,0.47,0.49,0.66,0.38,0.42,0.43,0.43,0.45,0.31,0.3,0.39
c_0,0.86,0.95,0.73,0.58,0.54,0.61,0.59,0.48,0.68,0.44,0.69,0.44,0.41,0.37,0.34,0.38
g_1,0.65,0.68,1.17,0.69,0.51,0.58,0.5,0.45,0.46,0.76,0.44,0.62,0.36,0.26,0.38,0.29
b_0,0.84,0.86,0.8,0.76,0.46,0.5,0.57,0.53,0.47,0.47,0.67,0.48,0.47,0.6,0.34,0.4
f_0,0.71,0.71,0.88,0.86,0.6,0.57,0.58,0.52,0.59,0.46,0.5,0.69,0.52,0.35,0.6,0.37
h_0,0.88,1.16,0.86,0.85,0.71,0.53,0.54,0.58,0.57,0.66,0.49,0.48,0.37,0.35,0.37,0.48
a_0,0.97,1.09,0.96,0.86,0.68,0.33,0.67,0.53,0.55,0.61,0.45,0.63,0.54,0.63,0.33,0.47
e_0,0.61,1.01,1.0,0.75,0.81,0.61,0.79,0.6,0.63,0.54,0.67,0.5,0.52,0.43,0.63,0.45
g_0,0.9,0.8,1.2,0.8,0.79,0.56,0.56,0.47,0.62,0.47,0.55,0.72,0.46,0.48,0.42,0.36
