,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.85,0.47,0.89,0.87,0.7,0.26,0.16,0.27,0.18,0.16,0.18,0.12,0.16,0.4,0.16
d_1,1.09,0.16,0.78,0.79,0.73,0.73,0.2,0.42,0.14,0.13,0.14,0.14,0.09,0.14,0.14,0.07
f_1,0.77,0.69,0.16,0.74,0.7,0.74,0.16,0.16,0.28,0.14,0.16,0.42,0.09,0.14,0.14,0.11
c_1,0.58,0.93,0.8,0.15,0.95,0.65,0.23,0.09,0.21,0.42,0.14,0.16,0.1,0.13,0.17,0.13
b_1,0.8,0.82,0.77,0.4,0.13,0.89,0.23,0.2,0.26,0.2,0.45,0.17,0.16,0.17,0.19,0.12
a_1,0.95,0.84,0.9,0.89,0.34,0.09,0.24,0.18,0.23,0.21,0.25,0.16,0.11,0.57,0.16,0.12
h_1,0.57,0.6,0.75,0.6,0.6,0.64,0.06,0.12,0.18,0.14,0.12,0.11,0.17,0.11,0.1,0.09
d_0,0.34,1.14,0.63,0.62,0.73,0.77,0.21,0.07,0.2,0.13,0.12,0.14,0.1,0.13,0.11,0.1
g_1,0.7,0.58,0.68,0.69,0.59,0.59,0.15,0.14,0.05,0.12,0.13,0.11,0.07,0.11,0.11,0.14
c_0,0.62,0.32,0.75,1.67,0.63,0.52,0.22,0.2,0.19,0.06,0.15,0.12,0.11,0.12,0.12,0.08
b_0,0.59,0.51,0.58,0.86,1.5,0.68,0.15,0.11,0.17,0.07,0.06,0.1,0.1,0.12,0.1,0.09
f_0,0.55,0.49,1.29,0.69,0.62,0.62,0.2,0.16,0.09,0.11,0.11,0.05,0.08,0.12,0.13,0.06
h_0,0.59,0.53,0.55,0.71,0.62,0.58,0.32,0.12,0.21,0.1,0.1,0.13,0.15,0.09,0.09,0.08
a_0,0.5,0.64,0.55,0.66,1.01,1.28,0.17,0.13,0.21,0.11,0.06,0.12,0.09,0.05,0.1,0.09
e_0,0.79,0.57,0.86,0.65,0.66,0.68,0.18,0.13,0.16,0.12,0.11,0.05,0.09,0.1,0.04,0.08
g_0,0.63,0.5,0.68,0.59,0.69,0.62,0.14,0.14,0.29,0.14,0.14,0.13,0.06,0.14,0.09,0.15
