,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.94,0.71,0.5,0.37,0.34,0.25,0.28,0.27,0.22,0.25,0.22,0.14,0.2,0.14,0.19,0.16
e_1,0.5,0.95,0.48,0.35,0.39,0.29,0.32,0.52,0.31,0.27,0.28,0.28,0.26,0.15,0.24,0.21
c_1,0.46,0.48,0.94,0.46,0.66,0.31,0.3,0.23,0.26,0.13,0.19,0.21,0.21,0.17,0.15,0.21
d_1,0.57,0.56,0.38,0.95,0.37,0.26,0.37,0.22,0.23,0.48,0.3,0.24,0.28,0.23,0.21,0.21
b_1,0.52,0.49,0.4,0.48,0.94,0.62,0.29,0.33,0.23,0.29,0.15,0.28,0.28,0.22,0.16,0.22
a_1,0.68,0.56,0.52,0.56,0.34,0.94,0.38,0.38,0.29,0.28,0.33,0.28,0.31,0.25,0.18,0.26
h_1,0.99,0.72,0.71,0.62,0.65,0.43,0.77,0.42,0.49,0.44,0.37,0.37,0.28,0.35,0.27,0.38
d_0,0.89,0.6,1.28,0.51,0.66,0.43,0.57,0.68,0.47,0.35,0.38,0.35,0.41,0.38,0.34,0.38
g_1,0.84,0.63,0.76,1.01,0.69,0.51,0.5,0.46,0.76,0.48,0.43,0.54,0.35,0.37,0.29,0.29
c_0,1.02,0.86,0.8,0.65,0.5,0.52,0.55,0.56,0.45,0.67,0.79,0.47,0.42,0.33,0.4,0.36
b_0,1.08,0.83,0.88,0.74,0.65,0.43,0.64,0.56,0.47,0.39,0.66,0.43,0.39,0.37,0.59,0.39
f_0,0.8,0.7,0.96,0.81,0.75,0.64,0.59,0.63,0.45,0.46,0.46,0.67,0.45,0.63,0.29,0.37
h_0,1.17,0.89,0.97,0.8,0.79,0.56,0.49,0.54,0.64,0.54,0.48,0.44,0.39,0.41,0.32,0.57
e_0,1.14,0.58,1.17,0.77,0.86,0.66,0.66,0.52,0.49,0.56,0.45,0.45,0.49,0.63,0.33,0.44
a_0,1.02,0.93,1.06,0.75,0.88,0.41,0.66,0.59,0.59,0.5,0.43,0.54,0.54,0.45,0.63,0.51
g_0,0.94,0.82,0.98,1.14,0.84,0.54,0.63,0.55,0.47,0.53,0.49,0.7,0.41,0.43,0.31,0.36
