,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.45,42.84,35.78,31.81,27.48,28.43,8.0,5.38,15.91,5.01,,6.15,5.68,3.9,5.55,5.15
e_1,18.13,0.45,23.84,59.04,46.93,35.18,8.0,6.79,9.79,7.22,8.32,7.17,4.51,4.47,,5.85
d_1,42.19,37.46,0.43,43.83,37.07,37.11,8.87,,5.17,12.33,6.07,5.27,6.1,4.27,7.15,2.73
c_1,32.32,38.93,36.54,0.42,39.07,38.44,9.76,3.78,11.35,,5.79,6.5,11.04,4.07,6.68,6.35
b_1,40.74,30.03,49.97,17.85,0.4,34.71,8.53,10.47,12.62,9.13,9.2,,7.6,4.68,6.08,6.05
a_1,51.14,44.42,48.99,56.03,20.88,0.32,14.63,12.43,9.68,13.65,9.77,14.14,,5.79,7.74,7.76
h_1,21.81,19.36,25.4,14.56,18.52,15.85,0.38,3.03,4.65,2.82,3.14,2.95,3.44,,3.21,2.35
d_0,14.39,9.15,,11.52,16.04,15.03,3.87,0.52,4.18,4.56,2.8,3.06,3.12,2.24,2.91,2.29
g_1,17.65,21.41,23.75,29.23,23.89,20.9,4.56,4.56,0.33,3.59,3.67,6.52,3.25,2.02,4.89,
c_0,16.38,14.72,7.56,,20.41,16.21,3.87,2.91,5.3,0.49,3.01,3.45,3.99,2.11,2.97,3.16
f_0,,19.74,17.37,17.32,12.96,22.23,6.41,2.97,4.33,2.67,0.48,4.01,2.73,2.29,2.34,1.33
b_0,16.73,19.01,15.7,20.16,,14.41,4.79,5.03,3.68,1.88,3.13,0.45,4.6,2.58,4.17,2.01
a_0,25.88,21.15,22.31,21.49,20.61,,5.96,3.69,4.93,3.23,4.19,1.77,0.42,,,2.83
h_0,14.06,10.54,16.24,13.12,13.69,17.31,,2.64,2.88,2.07,2.37,3.53,,,2.73,1.41
e_0,24.24,,19.05,16.15,15.28,20.04,7.0,3.11,7.53,5.33,2.35,5.39,,2.36,0.39,
g_0,12.2,17.77,12.95,14.4,17.0,17.15,2.47,3.11,,3.22,3.26,3.25,3.31,1.53,,
