,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.07,6.63,9.16,7.97,6.58,8.52,3.29,2.78,3.83,2.74,3.53,2.74,3.12,2.26,1.61,
f_1,9.57,1.07,10.17,8.34,6.87,9.59,2.81,5.29,2.81,2.83,2.47,,2.13,1.41,3.19,2.22
d_1,10.22,8.3,1.07,12.89,8.56,8.95,4.51,2.75,,3.01,2.93,2.05,2.34,2.05,1.76,
c_1,11.79,10.8,10.15,1.07,10.72,8.13,3.35,3.34,1.8,,2.68,2.31,3.2,2.45,2.5,2.6
b_1,15.23,14.05,11.38,7.05,1.07,9.64,3.7,3.48,3.39,3.59,,4.49,3.43,2.42,2.31,2.42
a_1,18.31,14.49,12.66,18.76,11.27,1.07,,4.62,5.67,4.98,3.95,3.52,,3.81,2.74,
h_1,13.21,13.53,11.25,13.19,15.51,,1.41,4.81,3.55,4.47,3.98,3.75,2.87,,4.34,3.57
g_1,18.75,14.59,16.6,14.55,17.97,14.04,4.85,1.41,4.31,3.93,3.73,5.0,4.65,2.6,,4.58
d_0,8.85,16.47,,17.17,13.67,10.94,5.68,6.24,1.72,4.25,4.35,4.6,3.14,3.34,3.14,3.17
c_0,13.03,15.49,8.91,,19.16,10.75,5.72,5.78,6.21,1.71,5.1,6.55,3.86,3.04,2.57,3.26
b_0,13.12,13.5,15.91,19.52,,16.17,5.95,7.71,4.56,3.23,1.73,4.02,5.09,4.59,3.5,3.2
f_0,19.33,,22.51,19.38,11.91,19.73,7.04,3.69,4.07,3.84,4.97,1.73,4.55,7.42,2.07,4.89
a_0,24.56,20.77,22.24,20.18,21.15,,8.99,7.44,6.87,6.32,4.48,7.04,1.68,2.8,3.38,
h_0,16.91,21.16,15.13,13.24,14.63,11.76,,9.82,4.61,4.86,4.0,3.19,7.4,,3.27,2.87
g_0,25.07,17.68,23.01,19.96,25.24,21.45,4.77,,5.42,6.12,4.96,7.22,6.61,3.14,,5.11
e_0,,34.26,,19.16,23.76,,7.36,6.71,8.57,9.7,9.21,4.14,,6.35,5.67,1.82
