,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,17.43,1.02,0.52,0.49,0.42,0.51,0.91,0.64,0.73,0.72,0.79,0.24,0.99,0.96,0.57,0.9
e_1,0.62,17.49,0.49,0.68,0.39,0.53,0.95,0.95,2.06,0.95,1.03,1.0,0.86,0.9,0.49,0.8
d_1,0.57,0.51,19.49,0.39,0.51,0.48,1.02,0.8,0.38,2.09,1.12,1.2,1.08,0.93,1.24,1.1
c_1,0.41,0.47,0.53,20.49,1.44,0.5,0.66,0.71,0.81,0.27,0.8,0.88,0.77,0.85,0.81,0.99
b_1,0.49,0.43,0.48,0.56,23.29,1.24,0.76,0.75,0.99,0.95,0.39,1.13,1.04,0.65,1.02,0.83
a_1,0.62,0.56,0.58,0.51,0.44,31.61,0.91,1.3,0.67,0.8,0.82,0.69,0.98,0.52,0.91,0.8
h_1,1.1,0.51,0.66,0.74,0.57,0.54,5.28,1.61,1.14,1.1,1.22,1.18,0.57,0.96,1.41,1.73
g_1,0.54,0.65,1.05,0.75,0.56,0.45,1.12,7.05,1.04,1.05,1.47,2.42,0.89,1.28,1.21,0.84
d_0,0.72,0.65,0.34,2.08,0.6,0.6,0.99,1.06,3.19,0.61,0.92,1.06,1.35,0.96,1.29,0.99
c_0,0.74,0.64,0.85,0.46,0.57,0.6,1.32,1.07,1.28,2.59,2.99,1.25,1.63,1.33,1.63,1.56
b_0,0.86,0.62,0.83,0.73,0.5,0.44,1.19,1.39,1.16,1.09,3.89,1.43,1.38,3.07,1.46,1.29
f_0,0.38,0.46,0.8,0.76,0.74,0.87,1.08,1.28,1.3,1.25,1.0,4.11,1.17,1.45,3.11,1.4
h_0,1.1,0.58,0.84,0.71,0.66,0.61,0.59,1.36,0.99,1.14,1.37,1.12,0.76,1.62,1.03,2.13
a_0,0.56,0.66,0.87,0.78,0.79,0.28,1.28,1.42,1.21,1.44,1.38,1.69,1.44,5.12,1.52,1.2
e_0,0.65,0.26,0.79,0.99,0.73,0.8,1.13,1.2,1.14,1.43,1.56,1.36,2.2,1.32,4.6,1.57
g_0,0.51,0.58,1.58,0.69,0.67,0.63,0.97,0.62,0.9,1.18,1.1,1.93,1.25,1.54,1.27,0.63
