,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.67,0.97,0.88,1.04,1.03,0.94,1.13,1.02,1.45,1.01,0.98,1.01,0.82,,1.4
f_1,1.5,1.0,1.08,1.03,0.72,0.92,0.9,1.0,1.04,1.06,1.15,,0.79,0.95,1.0,0.82
d_1,1.03,0.92,1.0,1.21,0.95,1.03,1.07,0.85,1.24,,1.25,1.12,0.79,0.65,1.0,0.89
c_1,1.13,0.97,0.83,1.0,1.24,1.03,0.92,1.21,,0.73,1.15,0.94,1.06,1.1,1.0,1.06
b_1,0.96,1.38,1.05,0.81,1.0,1.59,0.87,0.85,1.08,1.02,,0.82,1.02,0.88,0.89,0.9
a_1,0.97,1.09,0.97,0.97,0.63,1.0,1.26,0.96,0.8,1.41,,1.17,,,,0.96
h_1,1.06,1.11,0.94,1.09,1.15,0.79,1.0,1.11,0.93,0.67,1.11,0.84,,1.1,1.03,1.18
g_1,0.89,1.0,1.17,0.83,1.18,1.04,0.9,1.0,1.0,0.85,0.85,1.43,1.0,1.0,0.89,
c_0,0.98,0.96,0.81,,0.92,1.25,1.08,1.0,1.0,1.1,1.25,0.84,1.04,1.05,0.98,0.96
d_0,0.69,0.95,,1.37,0.98,0.71,1.49,1.18,0.91,1.0,0.92,0.99,0.91,1.08,0.98,1.07
b_0,0.99,0.87,0.8,0.87,,,0.9,1.17,0.8,1.08,1.0,1.04,1.31,1.71,0.98,0.98
f_0,1.02,,0.89,1.06,1.22,0.86,1.19,0.7,1.19,1.01,0.97,1.0,1.17,1.13,1.36,0.53
h_0,0.99,1.26,1.26,0.94,0.98,,,1.0,0.96,1.1,0.76,0.85,,0.87,1.44,1.11
a_0,1.22,1.06,1.54,0.91,1.14,,0.91,1.0,0.95,0.93,0.58,0.89,1.15,1.0,,0.95
e_0,,1.0,1.0,1.0,1.12,,0.97,1.12,1.02,1.02,1.02,0.74,0.7,,1.0,
g_0,0.72,1.21,1.12,0.94,1.11,1.04,0.85,,1.04,0.94,1.02,1.87,0.9,1.05,,
