,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,1.15,1.18,1.85,,18.85,22.57,34.74,,39.57,39.16,82.25,90.09,77.93,75.46
e_1,0.89,1.0,0.75,1.37,1.55,3.64,17.7,27.67,23.07,50.88,33.96,37.17,69.5,89.01,,94.29
f_1,0.87,1.34,1.0,1.66,1.78,3.25,13.55,30.8,23.54,28.59,36.14,,58.28,68.53,71.66,66.83
c_1,0.85,0.73,0.6,1.0,1.82,2.51,13.28,16.29,,16.73,26.04,33.84,48.27,,,80.04
b_1,0.54,0.65,0.56,0.55,1.0,,9.19,13.95,16.67,16.38,,21.49,25.32,42.51,57.21,55.98
a_1,,0.27,0.31,0.4,,1.0,4.16,9.05,6.23,10.02,11.59,12.07,29.91,,,22.97
h_1,0.05,0.06,0.07,0.08,0.11,0.24,1.0,2.03,1.55,1.97,1.84,2.0,,3.57,4.68,6.5
g_1,0.04,0.04,0.03,0.06,0.07,0.11,0.49,1.0,1.18,1.1,1.49,2.1,2.18,2.69,3.7,
c_0,0.03,0.04,0.04,,0.06,0.16,0.64,0.85,1.0,1.32,1.84,1.54,2.78,2.15,2.69,3.0
d_0,,0.02,0.03,0.06,0.06,0.1,0.51,0.91,0.76,1.0,1.3,1.19,2.06,2.45,2.41,2.83
b_0,0.03,0.03,0.03,0.04,,0.09,0.54,0.67,0.54,0.77,1.0,0.94,2.67,3.34,2.05,3.63
f_0,0.03,0.03,,0.03,0.05,0.08,0.5,0.48,0.65,0.84,1.07,1.0,2.17,1.9,2.53,1.44
h_0,0.01,0.01,0.02,0.02,0.04,0.03,,0.46,0.36,0.48,0.37,0.46,,0.92,0.99,1.65
a_0,0.01,0.01,0.01,,0.02,,0.28,0.37,0.46,0.41,0.3,0.53,1.09,1.0,,1.13
e_0,0.01,,0.01,,0.02,,0.21,0.27,0.37,0.41,0.49,0.39,1.01,,1.0,1.35
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.15,,0.33,0.35,0.28,0.69,0.61,0.88,0.74,
