,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.89,0.38,0.21,0.22,0.17,0.1,0.16,0.14,0.18,0.15,0.17,0.07,0.12,0.17,0.14,0.06
e_1,0.27,0.89,0.18,0.23,0.15,0.12,0.24,0.16,0.36,0.21,0.21,0.18,0.15,0.18,0.16,0.07
d_1,0.24,0.2,0.9,0.17,0.16,0.16,0.18,0.17,0.09,0.38,0.22,0.17,0.13,0.22,0.15,0.13
c_1,0.24,0.23,0.2,0.89,0.32,0.11,0.16,0.13,0.18,0.07,0.12,0.14,0.13,0.18,0.13,0.09
b_1,0.21,0.2,0.23,0.21,0.88,0.27,0.18,0.15,0.2,0.15,0.07,0.17,0.09,0.18,0.13,0.11
a_1,0.23,0.22,0.25,0.2,0.19,0.88,0.23,0.17,0.18,0.19,0.15,0.16,0.07,0.22,0.15,0.1
h_1,0.39,0.25,0.27,0.26,0.19,0.14,0.57,0.25,0.25,0.25,0.19,0.17,0.13,0.14,0.25,0.14
g_1,0.24,0.27,0.47,0.25,0.16,0.14,0.19,0.57,0.14,0.21,0.19,0.24,0.12,0.21,0.14,0.11
d_0,0.28,0.26,0.15,0.5,0.23,0.15,0.24,0.19,0.44,0.17,0.2,0.18,0.16,0.23,0.17,0.12
c_0,0.32,0.3,0.28,0.15,0.17,0.16,0.24,0.22,0.26,0.46,0.5,0.23,0.2,0.24,0.18,0.16
b_0,0.33,0.27,0.28,0.28,0.13,0.13,0.25,0.2,0.26,0.22,0.43,0.16,0.36,0.3,0.19,0.14
f_0,0.2,0.22,0.31,0.29,0.2,0.18,0.26,0.19,0.28,0.23,0.23,0.41,0.16,0.23,0.2,0.3
a_0,0.37,0.28,0.27,0.28,0.19,0.08,0.26,0.24,0.26,0.21,0.26,0.19,0.42,0.23,0.19,0.1
h_0,0.45,0.28,0.29,0.27,0.19,0.11,0.13,0.29,0.2,0.2,0.19,0.18,0.16,0.14,0.24,0.13
g_0,0.26,0.27,0.39,0.24,0.19,0.17,0.25,0.13,0.25,0.21,0.18,0.29,0.18,0.24,0.13,0.16
e_0,0.3,0.21,0.29,0.33,0.2,0.14,0.23,0.23,0.26,0.25,0.24,0.14,0.2,0.24,0.22,0.4
