,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.78,1.25,1.0,0.85,0.78,0.68,0.63,0.93,0.74,0.65,0.65,0.59,0.58,0.61
d_1,1.11,1.0,1.0,0.91,0.97,0.82,0.74,0.54,0.84,0.61,0.65,0.6,0.6,0.63,0.6,0.48
f_1,1.28,0.98,1.0,0.91,0.89,0.78,0.62,0.72,0.61,0.64,0.57,0.58,0.47,0.58,0.45,0.62
c_1,0.79,1.14,1.07,1.0,1.32,0.84,0.7,0.73,0.66,0.46,0.64,0.51,0.61,0.51,0.59,0.56
b_1,1.01,1.04,1.12,0.75,1.0,1.31,0.78,0.78,0.66,0.66,0.61,0.59,0.68,0.55,0.65,0.61
a_1,1.18,1.23,1.29,1.19,0.75,1.0,0.82,0.83,0.72,0.86,0.74,1.0,0.65,0.78,0.73,0.62
h_1,1.3,1.4,1.61,1.4,1.26,1.17,1.0,1.01,0.85,0.87,0.87,0.91,0.86,0.71,0.75,0.94
g_1,1.43,1.79,1.41,1.38,1.31,1.26,0.95,1.0,0.97,0.93,1.05,1.02,0.71,0.8,0.87,0.9
c_0,1.57,1.25,1.6,1.54,1.61,1.34,1.16,1.0,1.0,1.24,0.95,1.34,0.93,1.05,0.85,0.93
d_0,1.09,1.69,1.54,2.17,1.53,1.2,1.13,1.04,0.79,1.0,0.97,0.98,0.95,0.85,0.88,0.98
f_0,1.35,1.51,1.86,1.49,1.7,1.27,1.17,0.96,1.03,1.05,1.0,0.99,1.04,0.88,1.32,0.78
b_0,1.49,1.63,1.71,2.11,1.61,1.05,1.12,1.0,0.73,1.0,0.96,1.0,1.03,1.33,0.91,0.89
h_0,1.52,1.73,2.1,1.71,1.5,1.44,1.15,1.48,1.08,1.14,0.98,0.99,1.0,0.93,0.87,1.17
a_0,1.76,1.6,1.78,1.86,1.79,1.32,1.37,1.24,1.01,1.12,1.1,0.79,1.17,1.01,1.05,1.17
e_0,1.72,1.71,2.21,1.65,1.51,1.36,1.32,1.17,1.15,1.06,0.77,1.17,1.14,1.0,1.0,1.03
g_0,1.61,2.06,1.71,1.76,1.62,1.59,1.06,1.14,1.1,1.04,1.29,1.12,0.9,0.83,1.01,1.0
