,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.17,0.25,0.36,0.38,0.38,0.33,0.1,0.08,0.11,0.07,0.07,0.09,0.09,0.05,0.06,0.1
f_1,0.32,0.17,0.33,0.37,0.38,0.32,0.08,0.07,0.12,0.07,0.07,0.09,0.07,0.04,0.05,0.06
d_1,0.41,0.39,0.15,0.34,0.31,0.32,0.09,0.1,0.06,0.07,0.07,0.07,0.06,0.05,0.03,0.06
c_1,0.29,0.36,0.45,0.14,0.36,0.32,0.11,0.04,0.1,0.08,0.07,0.07,0.06,0.05,0.05,0.07
b_1,0.35,0.42,0.38,0.21,0.11,0.38,0.1,0.07,0.11,0.1,0.1,0.08,0.07,0.06,0.06,0.06
a_1,0.36,0.37,0.37,0.34,0.19,0.09,0.11,0.08,0.11,0.08,0.12,0.09,0.12,0.05,0.06,0.07
h_1,0.31,0.33,0.31,0.32,0.3,0.26,0.06,0.07,0.09,0.07,0.06,0.08,0.07,0.05,0.05,0.07
d_0,0.22,0.3,0.44,0.35,0.37,0.34,0.11,0.05,0.1,0.06,0.07,0.07,0.07,0.04,0.05,0.07
g_1,0.32,0.33,0.34,0.32,0.29,0.26,0.08,0.07,0.04,0.07,0.07,0.08,0.06,0.03,0.06,0.06
c_0,0.37,0.33,0.21,0.44,0.32,0.28,0.1,0.1,0.09,0.05,0.07,0.07,0.07,0.05,0.05,0.06
b_0,0.32,0.35,0.27,0.39,0.41,0.27,0.1,0.08,0.08,0.04,0.05,0.07,0.07,0.05,0.04,0.06
f_0,0.33,0.46,0.3,0.33,0.29,0.26,0.09,0.08,0.06,0.06,0.06,0.04,0.06,0.05,0.03,0.06
a_0,0.3,0.33,0.27,0.39,0.39,0.4,0.1,0.07,0.08,0.05,0.04,0.06,0.03,0.04,0.04,0.06
h_0,0.31,0.33,0.28,0.34,0.3,0.28,0.11,0.07,0.1,0.06,0.07,0.06,0.06,0.06,0.05,0.06
g_0,0.32,0.35,0.3,0.36,0.31,0.24,0.08,0.07,0.1,0.06,0.06,0.06,0.07,0.03,0.06,0.06
e_0,0.4,0.43,0.34,0.29,0.29,0.29,0.08,0.07,0.07,0.06,0.06,0.04,0.05,0.04,0.04,0.03
