,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.17,0.69,0.76,0.71,0.7,0.53,0.16,0.12,0.13,0.31,0.15,0.11,0.14,0.09,0.12,0.07
f_1,0.59,0.17,0.61,0.73,0.6,0.59,0.15,0.24,0.13,0.14,0.12,0.26,0.11,0.07,0.1,0.11
e_1,0.7,0.37,0.16,0.79,0.71,0.76,0.22,0.18,0.15,0.15,0.17,0.15,0.15,0.09,0.25,0.11
c_1,0.84,0.69,0.5,0.15,0.65,0.61,0.22,0.21,0.25,0.07,0.13,0.14,0.13,0.11,0.14,0.09
b_1,0.82,0.74,0.67,0.33,0.14,0.69,0.21,0.21,0.16,0.16,0.27,0.14,0.13,0.1,0.15,0.12
a_1,0.69,0.65,0.71,0.77,0.34,0.09,0.22,0.23,0.15,0.15,0.18,0.15,0.34,0.12,0.14,0.1
h_1,0.46,0.62,0.51,0.52,0.62,0.58,0.06,0.16,0.09,0.11,0.11,0.1,0.1,0.13,0.09,0.07
g_1,0.5,0.56,0.62,0.57,0.53,0.42,0.11,0.05,0.11,0.14,0.11,0.11,0.11,0.06,0.1,0.13
c_0,0.27,0.68,0.49,1.02,0.71,0.5,0.18,0.15,0.06,0.16,0.11,0.1,0.11,0.07,0.1,0.07
d_0,0.94,0.58,0.28,0.52,0.51,0.61,0.2,0.19,0.1,0.06,0.1,0.12,0.1,0.07,0.11,0.08
b_0,0.45,0.56,0.45,0.6,1.0,0.53,0.14,0.14,0.06,0.12,0.05,0.1,0.12,0.09,0.11,0.07
f_0,0.5,1.1,0.5,0.55,0.51,0.47,0.14,0.09,0.1,0.1,0.09,0.05,0.09,0.09,0.1,0.05
a_0,0.46,0.51,0.57,0.55,0.64,1.2,0.15,0.16,0.08,0.11,0.05,0.1,0.04,0.07,0.08,0.07
h_0,0.53,0.5,0.58,0.48,0.44,0.39,0.24,0.18,0.12,0.11,0.1,0.1,0.09,0.14,0.09,0.08
e_0,0.45,0.83,0.86,0.54,0.54,0.52,0.12,0.12,0.1,0.12,0.09,0.05,0.09,0.07,0.04,0.06
g_0,0.47,0.62,0.48,0.54,0.5,0.6,0.11,0.3,0.11,0.1,0.08,0.1,0.1,0.06,0.09,0.08
