,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.06,0.99,0.87,0.86,0.83,0.67,0.54,0.76,0.63,0.71,0.58,0.61,0.59,0.57,0.46
f_1,0.95,1.0,1.2,0.94,0.92,0.75,0.62,0.7,0.64,0.7,0.62,0.6,0.58,0.5,0.47,0.56
e_1,0.97,0.85,1.0,1.24,0.97,0.86,0.75,0.68,0.63,0.85,0.69,0.66,0.63,0.6,0.6,0.61
c_1,1.17,1.07,0.84,1.0,1.2,0.93,0.73,0.73,0.58,0.48,0.48,0.62,0.55,0.58,0.55,0.58
b_1,1.14,1.1,1.01,0.83,1.0,1.19,0.82,0.78,0.75,0.67,0.64,0.66,0.57,0.68,0.56,0.65
a_1,1.19,1.29,1.15,1.08,0.85,1.0,0.99,0.9,0.79,0.75,0.82,0.78,0.67,0.76,0.79,0.79
h_1,1.48,1.61,1.36,1.36,1.22,0.99,1.0,1.02,0.92,0.9,0.94,0.88,0.81,0.86,0.85,0.89
g_1,1.8,1.48,1.45,1.39,1.3,1.13,0.96,1.0,0.95,0.94,0.99,1.09,0.91,0.83,0.91,0.84
c_0,1.29,1.57,1.57,1.78,1.36,1.27,1.07,1.06,1.0,1.24,1.28,0.96,1.03,0.9,0.94,0.82
d_0,1.53,1.44,1.19,2.11,1.47,1.29,1.06,1.06,0.8,1.0,0.92,0.97,0.98,0.93,0.88,0.87
b_0,1.42,1.72,1.39,1.95,1.66,1.21,1.06,1.0,0.77,1.1,1.0,0.94,1.19,1.0,0.89,0.87
f_0,1.66,1.72,1.41,1.7,1.66,1.28,1.14,0.9,1.03,1.03,1.02,1.0,0.96,0.9,1.32,0.85
a_0,1.65,1.73,1.6,1.84,1.61,1.45,1.28,1.05,0.98,1.05,0.87,1.05,1.0,1.05,0.96,1.06
h_0,1.72,1.99,1.64,1.66,1.41,1.38,1.18,1.19,1.15,1.09,1.02,1.04,0.95,1.01,0.83,1.03
e_0,1.81,2.02,1.59,1.8,1.84,1.4,1.19,1.06,1.11,1.14,1.1,0.79,1.04,1.2,1.0,0.96
g_0,2.19,1.85,1.67,1.7,1.53,1.31,1.09,1.11,1.27,1.07,1.16,1.17,0.96,0.98,1.0,1.0
