,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.4,0.67,0.76,0.57,0.75,0.58,0.36,0.37,0.2,0.3,0.32,0.27,0.27,0.32,0.29,0.24
f_1,0.69,0.4,0.64,0.77,0.64,0.55,0.29,0.39,0.32,0.29,0.34,0.27,0.2,0.23,0.28,0.28
d_1,0.69,0.65,0.39,0.73,0.66,0.7,0.34,0.25,0.39,0.33,0.26,0.3,0.24,0.28,0.26,0.18
e_1,0.74,0.46,0.7,0.39,0.7,0.69,0.39,0.42,0.37,0.32,0.36,0.3,0.27,0.47,0.31,0.31
b_1,0.43,0.77,0.71,0.65,0.37,0.85,0.42,0.38,0.31,0.39,0.3,0.41,0.28,0.29,0.31,0.27
a_1,0.74,0.82,0.7,0.7,0.38,0.3,0.35,0.45,0.33,0.35,0.29,0.4,0.27,0.36,0.42,0.31
h_1,0.63,0.67,0.6,0.68,0.62,0.6,0.24,0.32,0.3,0.26,0.27,0.27,0.26,0.23,0.24,0.27
g_1,0.63,0.64,0.67,0.58,0.67,0.54,0.28,0.22,0.3,0.26,0.33,0.28,0.19,0.28,0.27,0.28
d_0,0.76,0.62,0.84,0.4,0.69,0.59,0.37,0.35,0.24,0.25,0.35,0.26,0.24,0.32,0.31,0.27
c_0,1.13,0.66,0.41,0.67,0.61,0.58,0.35,0.34,0.42,0.22,0.29,0.34,0.25,0.32,0.32,0.23
f_0,0.64,0.9,0.63,0.59,0.63,0.56,0.34,0.23,0.29,0.29,0.22,0.32,0.24,0.34,0.35,0.18
b_0,0.92,0.65,0.49,0.63,0.73,0.58,0.34,0.34,0.32,0.17,0.26,0.22,0.25,0.31,0.33,0.22
h_0,0.59,0.72,0.61,0.6,0.59,0.56,0.39,0.39,0.3,0.27,0.29,0.25,0.27,0.26,0.29,0.24
e_0,0.62,0.97,0.58,0.72,0.63,0.51,0.34,0.27,0.3,0.25,0.17,0.26,0.25,0.19,0.3,0.21
a_0,0.68,0.62,0.64,0.61,0.69,0.66,0.33,0.37,0.28,0.24,0.25,0.18,0.22,0.26,0.19,0.23
g_0,0.66,0.66,0.65,0.56,0.62,0.6,0.27,0.35,0.28,0.28,0.31,0.27,0.19,0.29,0.28,0.26
