,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.38,0.26,0.45,0.28,0.29,0.2,0.63,0.55,0.62,0.64,0.74,,0.51,0.53,0.44,0.8
d_1,0.31,2.46,0.21,0.26,0.26,0.26,0.69,,0.53,0.96,0.56,0.51,0.9,0.7,0.65,0.72
e_1,0.23,0.31,2.46,0.23,0.29,0.32,0.44,1.01,0.48,0.66,0.58,0.56,0.85,0.55,,0.73
c_1,0.28,0.3,0.31,2.56,0.44,0.34,0.45,0.46,0.7,,0.52,0.68,0.8,0.6,0.5,0.82
b_1,0.27,0.33,0.26,0.19,2.71,0.42,0.71,0.6,0.41,0.56,,0.6,0.91,0.51,,0.81
a_1,0.33,0.31,0.27,0.22,0.27,3.18,0.57,0.71,0.57,0.57,0.54,0.59,0.77,,,0.6
h_1,0.58,0.38,0.63,0.63,0.41,0.46,3.79,1.06,1.24,1.48,1.14,1.24,,1.18,1.38,1.87
d_0,0.58,,0.47,1.21,0.64,0.6,1.17,3.42,0.96,1.29,1.49,1.13,1.65,1.53,1.31,2.05
g_1,0.49,0.69,0.46,0.4,0.65,0.51,1.05,1.49,4.22,1.03,1.19,1.53,1.22,1.15,1.37,
c_0,0.64,0.42,0.71,,0.56,0.53,1.17,1.56,1.14,3.57,2.31,1.54,1.92,1.22,1.22,1.61
b_0,0.55,0.71,0.6,0.7,,0.5,1.31,1.53,1.08,0.93,3.69,1.34,1.91,2.26,2.01,1.44
f_0,,0.67,0.65,0.56,0.74,0.73,1.2,1.59,1.22,1.33,1.45,4.0,1.47,1.47,1.56,1.41
h_0,1.23,0.76,0.68,0.68,0.69,0.7,,1.7,1.96,1.45,1.7,1.61,,1.16,1.85,2.44
a_0,0.57,0.67,0.73,0.6,0.55,,1.25,1.26,0.97,1.58,1.06,1.08,2.65,4.58,,1.83
e_0,0.68,0.71,,0.72,,,1.25,1.46,1.03,1.86,1.0,1.38,2.09,,4.78,1.56
g_0,0.66,0.96,0.49,0.82,0.78,0.92,1.27,1.36,,1.68,2.01,2.74,1.63,1.83,1.56,
