,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.89,2.7,1.42,1.47,1.37,1.24,4.7,7.09,4.56,5.1,6.79,3.8,9.73,8.32,10.64,7.05
e_1,1.6,5.95,1.22,2.18,1.44,1.28,5.75,13.11,5.53,7.61,8.0,8.08,9.71,7.74,10.9,4.13
d_1,1.63,1.47,6.41,1.01,1.42,1.82,5.23,3.46,5.4,13.64,8.98,8.41,12.5,7.21,11.06,7.65
c_1,1.61,1.35,1.44,6.63,2.78,1.54,4.84,5.98,5.93,2.47,5.25,8.06,12.64,7.69,9.37,7.47
b_1,1.4,1.29,1.54,1.74,7.68,3.01,5.01,6.3,5.49,6.4,3.16,7.47,10.2,5.52,10.91,7.58
a_1,1.58,1.48,1.72,1.55,1.36,11.23,6.68,7.14,5.84,7.11,9.07,7.57,11.05,4.8,10.42,7.08
h_1,2.58,1.55,1.85,2.01,1.78,1.69,15.39,8.37,8.76,8.47,8.37,7.92,8.67,8.2,18.29,8.75
d_0,1.88,1.93,1.05,3.68,1.68,1.4,7.14,15.99,5.39,6.97,8.24,10.86,13.14,8.43,15.15,9.56
g_1,1.94,1.48,3.03,1.91,1.6,1.74,5.86,5.87,20.25,7.98,9.38,14.26,12.33,7.43,7.9,8.46
c_0,2.02,2.04,2.21,1.32,1.15,1.76,7.25,9.47,6.16,17.07,19.89,9.58,14.02,13.09,16.47,9.67
b_0,2.01,1.99,2.22,1.8,0.88,1.07,8.37,10.0,7.48,9.88,18.58,10.05,13.31,20.41,14.88,10.68
f_0,1.18,1.6,2.1,1.99,2.12,1.87,8.18,9.66,7.41,9.94,11.08,19.33,14.36,9.85,12.93,19.12
h_0,2.52,1.68,2.02,1.95,2.05,1.61,4.09,7.37,10.45,7.1,9.08,8.75,9.97,9.12,16.32,7.29
a_0,2.18,1.94,1.96,2.0,1.63,1.26,7.49,10.94,7.16,8.7,9.39,10.91,16.39,23.37,12.82,9.38
g_0,1.69,1.61,2.81,2.08,1.8,2.14,6.26,7.72,4.74,7.79,10.12,15.26,12.9,8.71,8.42,9.13
e_0,2.14,1.15,2.08,1.91,1.93,1.79,9.11,8.37,7.65,9.26,10.92,9.49,15.68,8.38,12.6,27.93
