,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,10.78,8.39,8.28,8.81,9.34,3.03,3.25,2.3,2.43,2.19,,1.46,2.36,1.88,2.39
e_1,6.57,1.07,8.64,10.94,8.65,7.36,3.22,2.73,2.72,3.6,2.3,3.86,1.95,2.56,2.17,
d_1,10.53,12.89,1.07,7.61,7.78,7.23,3.4,3.15,2.8,,4.68,2.4,1.81,1.83,1.55,2.25
c_1,10.39,9.26,10.31,1.07,9.59,7.8,4.14,,2.87,2.01,3.14,2.37,1.94,2.23,2.46,2.56
b_1,11.15,12.57,9.72,8.13,1.07,12.34,4.55,4.18,3.15,3.23,,3.0,3.21,2.93,2.19,2.73
a_1,12.45,20.55,17.92,15.7,8.91,1.07,4.73,5.02,,6.34,4.89,3.97,3.98,,2.9,
h_1,14.29,14.43,12.23,11.25,11.17,11.64,1.41,3.57,4.7,3.91,5.65,3.69,,3.81,2.91,3.0
c_0,14.7,14.71,10.55,,12.77,11.06,5.4,1.72,5.09,4.6,4.94,3.6,3.08,3.93,3.37,2.74
g_1,24.06,20.58,17.62,19.88,20.05,,4.84,4.73,1.41,4.69,4.18,4.63,2.64,4.22,,
d_0,16.81,9.01,,15.82,14.25,9.39,5.54,4.31,8.11,1.76,4.01,4.3,3.42,4.04,3.82,3.29
b_0,17.73,17.82,14.86,18.2,,17.7,5.71,2.94,5.6,4.53,1.75,5.23,3.58,,3.54,4.86
f_0,,15.0,21.17,20.57,19.62,15.43,7.12,5.19,4.88,4.82,3.14,1.77,5.07,4.71,2.22,4.23
h_0,16.13,14.69,20.39,16.62,14.63,14.19,,4.37,8.21,4.87,4.85,4.13,,3.21,3.75,3.83
a_0,19.68,22.3,25.42,30.71,18.43,,10.61,6.83,8.86,5.16,,4.97,6.23,1.76,4.76,
g_0,18.32,17.81,19.26,15.35,21.78,21.07,5.23,6.53,,4.9,6.16,6.8,3.43,5.44,,4.07
e_0,28.48,,20.46,20.65,28.1,,10.44,7.44,,6.54,6.79,4.1,6.15,,5.77,1.78
