,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.96,1.17,0.96,0.89,1.17,1.2,0.96,1.38,1.09,1.03,1.09,1.07,1.06,1.13
f_1,1.2,1.0,0.9,1.15,0.82,1.07,0.85,1.02,0.94,0.95,0.88,0.97,1.05,0.82,0.91,1.0
d_1,1.04,1.13,1.0,0.85,1.02,0.92,1.04,0.85,1.3,1.0,1.04,0.95,0.95,0.97,0.95,0.85
c_1,0.85,0.87,1.16,1.0,1.52,0.89,0.92,0.83,0.74,0.72,0.79,1.04,0.77,1.0,1.05,0.96
b_1,1.03,1.23,0.97,0.66,1.0,1.46,1.02,1.03,1.09,1.01,1.26,0.95,1.0,1.1,1.04,1.03
a_1,1.1,0.94,1.09,1.1,0.69,1.0,1.11,1.26,1.01,1.04,1.22,1.05,1.08,1.18,0.91,1.09
h_1,0.86,1.17,0.96,1.07,0.99,0.91,1.0,1.09,0.9,0.9,1.04,0.89,0.96,1.02,0.94,1.26
g_1,0.83,0.96,1.18,1.14,0.97,0.86,0.92,1.0,0.93,0.94,0.98,1.28,1.0,0.81,1.1,0.99
c_0,1.05,1.07,0.76,1.28,0.9,1.02,1.05,1.17,1.0,1.14,1.3,1.0,1.28,1.06,0.95,1.05
d_0,0.73,1.0,1.01,1.42,1.0,0.93,1.15,1.11,0.86,1.0,1.01,1.04,0.85,0.92,0.92,0.98
b_0,0.94,1.11,0.96,1.39,0.8,0.77,0.94,1.06,0.76,1.05,1.0,1.03,1.59,1.24,0.96,1.02
f_0,0.93,1.1,1.02,1.0,1.11,0.98,1.13,0.77,0.97,0.9,0.96,1.0,0.88,1.15,1.41,0.8
a_0,0.96,0.95,1.0,1.22,0.99,0.93,1.0,1.06,0.85,1.16,0.68,1.13,1.0,1.06,0.94,1.28
h_0,0.99,1.17,1.04,0.97,0.98,0.8,0.94,1.23,0.93,1.1,0.88,0.83,0.96,1.0,0.96,1.1
e_0,1.0,1.13,1.06,0.97,0.98,1.04,1.09,0.96,1.1,1.01,1.06,0.72,1.05,1.04,1.0,0.88
g_0,0.95,1.01,1.23,0.99,0.96,0.89,0.8,0.97,0.94,0.99,0.94,1.2,0.8,0.91,1.15,1.0
