,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.45,0.79,0.65,0.79,0.56,0.38,0.4,0.39,0.31,0.3,0.39,0.28,0.31,0.42,0.28
f_1,0.76,0.4,0.68,0.66,0.65,0.56,0.27,0.33,0.36,0.27,0.28,0.36,0.2,0.26,0.25,0.28
c_1,0.54,0.68,0.4,0.78,0.77,0.79,0.36,0.19,0.36,0.35,0.27,0.28,0.26,0.28,0.28,0.27
d_1,0.74,0.69,0.66,0.38,0.67,0.6,0.38,0.38,0.26,0.33,0.31,0.28,0.22,0.31,0.3,0.18
b_1,0.64,0.84,0.44,0.7,0.36,0.82,0.36,0.32,0.38,0.43,0.46,0.3,0.31,0.33,0.29,0.28
a_1,0.84,0.72,0.64,0.74,0.39,0.3,0.42,0.35,0.42,0.3,0.39,0.32,0.27,0.38,0.3,0.26
h_1,0.62,0.73,0.59,0.63,0.61,0.53,0.23,0.29,0.41,0.26,0.28,0.28,0.32,0.32,0.26,0.25
d_0,0.39,0.6,0.9,0.84,0.68,0.6,0.36,0.24,0.4,0.26,0.29,0.3,0.25,0.29,0.3,0.28
g_1,0.62,0.7,0.71,0.62,0.61,0.59,0.27,0.28,0.21,0.28,0.29,0.28,0.22,0.31,0.31,0.25
c_0,0.63,0.69,0.95,0.42,0.6,0.61,0.44,0.43,0.33,0.23,0.36,0.31,0.25,0.28,0.32,0.24
b_0,0.59,0.66,0.87,0.55,0.64,0.57,0.36,0.31,0.38,0.18,0.22,0.29,0.25,0.28,0.3,0.24
f_0,0.53,0.92,0.69,0.6,0.61,0.6,0.33,0.28,0.25,0.28,0.27,0.21,0.27,0.31,0.29,0.17
h_0,0.56,0.71,0.67,0.59,0.61,0.55,0.4,0.32,0.32,0.26,0.27,0.27,0.28,0.25,0.28,0.26
a_0,0.56,0.73,0.7,0.54,0.8,0.76,0.33,0.31,0.39,0.26,0.18,0.26,0.26,0.19,0.28,0.24
e_0,0.64,0.91,0.61,0.62,0.57,0.58,0.37,0.28,0.29,0.24,0.27,0.17,0.27,0.25,0.19,0.2
g_0,0.59,0.67,0.61,0.66,0.57,0.56,0.3,0.28,0.4,0.29,0.32,0.3,0.19,0.26,0.28,0.27
