,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,1.07,0.97,1.41,1.18,1.0,2.19,4.07,2.22,2.36,2.68,2.56,3.38,3.29,2.01,2.91
f_1,1.75,2.44,1.03,1.05,1.05,1.03,1.91,2.28,2.03,2.65,2.3,1.78,2.47,2.14,2.07,3.01
d_1,1.16,1.49,2.57,0.94,0.85,1.01,2.38,1.63,1.82,3.72,2.83,2.44,2.94,2.34,2.84,2.73
c_1,0.98,1.07,0.99,2.62,1.99,0.95,2.03,2.01,2.1,1.21,2.3,2.4,2.96,2.25,2.48,2.77
b_1,0.98,1.0,1.31,1.0,2.71,2.14,2.13,2.08,2.31,2.53,1.58,2.76,2.9,2.35,2.42,2.95
a_1,1.18,1.19,1.34,1.31,0.73,3.2,2.51,2.3,2.53,2.2,2.67,2.61,3.73,1.58,3.1,3.35
h_1,1.22,1.65,1.33,1.2,1.16,1.02,4.06,2.68,2.82,2.38,2.76,2.36,2.42,2.37,2.61,4.6
d_0,0.91,1.18,0.93,2.19,1.47,1.18,2.19,3.82,2.38,1.9,2.67,2.72,3.94,2.88,2.8,3.91
g_1,1.03,1.17,1.86,0.98,1.22,1.27,2.22,2.15,4.56,2.79,2.4,3.82,3.01,2.87,3.02,2.38
c_0,1.2,1.46,1.29,1.1,0.89,1.28,2.92,3.25,2.42,4.05,4.4,3.06,3.42,3.42,3.1,4.2
b_0,1.24,1.4,1.37,1.32,0.76,1.12,2.63,2.87,2.46,2.37,4.29,2.59,4.04,4.39,3.43,3.94
f_0,1.11,0.88,1.34,1.23,1.43,1.47,2.67,3.11,2.38,2.55,2.72,4.4,3.8,2.86,5.29,3.1
h_0,1.32,1.7,1.29,1.31,1.35,1.16,1.68,2.55,2.9,2.57,2.31,2.18,2.55,2.35,2.76,4.2
a_0,1.16,1.4,1.38,1.3,1.23,0.92,2.98,2.94,2.09,2.46,2.81,2.85,4.2,4.78,3.03,3.34
e_0,0.65,1.59,1.29,1.34,1.53,1.16,2.46,2.8,2.42,2.88,2.39,2.39,4.11,2.74,4.86,4.06
g_0,1.15,1.12,1.87,1.35,1.2,1.23,2.05,2.17,2.04,2.54,2.74,3.47,3.06,3.17,2.89,2.56
