,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.54,0.94,1.03,0.87,0.88,0.86,0.94,1.46,0.86,,0.97,0.82,0.92,0.84,1.18
e_1,0.65,1.0,0.82,1.27,1.32,1.05,0.91,1.32,1.04,1.08,1.04,0.98,0.8,1.14,,1.04
d_1,1.06,1.22,1.0,1.11,0.89,1.0,0.82,,0.7,1.93,0.92,0.91,0.89,0.87,1.05,0.82
c_1,0.98,0.79,0.9,1.0,1.52,0.94,1.13,0.85,0.93,,0.89,0.88,1.21,0.94,1.09,1.17
b_1,1.15,0.76,1.12,0.66,1.0,1.43,0.91,1.17,1.05,0.98,1.27,,1.0,0.96,1.04,1.03
a_1,1.14,0.96,1.0,1.06,0.7,1.0,1.16,1.18,0.89,1.21,0.9,1.35,,0.86,0.93,1.04
h_1,1.16,1.09,1.22,0.89,1.1,0.86,1.0,0.95,1.09,0.93,0.79,0.88,0.93,,0.83,1.25
d_0,1.07,0.76,,1.18,0.86,0.85,1.05,1.0,0.96,1.27,1.02,0.82,1.05,1.05,1.11,1.02
g_1,0.69,0.96,1.43,1.08,0.95,1.13,0.92,1.04,1.0,0.83,0.96,1.39,0.92,0.95,0.92,
c_0,1.17,0.92,0.52,,1.02,0.83,1.08,0.79,1.2,1.0,1.1,1.4,1.25,1.14,0.85,1.16
f_0,,0.96,1.08,1.12,0.79,1.11,1.27,0.99,1.04,0.91,1.0,1.13,0.88,1.07,1.1,0.73
b_0,1.03,1.02,1.1,1.14,,0.74,1.13,1.22,0.72,0.71,0.88,1.0,1.75,0.93,0.96,0.89
a_0,1.22,1.24,1.12,0.83,1.0,,1.08,0.96,1.08,0.8,1.14,0.57,1.0,,,0.97
h_0,1.09,0.88,1.14,1.06,1.04,1.16,,0.95,1.05,0.88,0.93,1.07,,,1.08,1.0
e_0,1.19,,0.95,0.92,0.96,1.08,1.2,0.9,1.09,1.18,0.91,1.04,,0.93,1.0,
g_0,0.85,0.96,1.22,0.85,0.97,0.96,0.8,0.98,,0.86,1.38,1.12,1.04,1.0,,
