,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.03,1.11,1.12,1.38,3.63,16.92,17.28,40.87,,41.14,38.26,78.18,68.89,98.87,100.91
f_1,0.97,1.0,1.56,1.42,1.77,3.75,14.85,25.31,22.89,28.14,38.36,,61.11,77.64,62.08,99.24
e_1,0.9,0.64,1.0,1.17,1.18,2.72,21.78,19.85,25.3,38.72,49.59,33.32,61.76,50.58,,68.93
c_1,0.9,0.7,0.85,1.0,1.54,2.27,15.81,18.44,,17.72,36.01,39.8,64.07,69.87,80.23,67.89
b_1,0.73,0.57,0.85,0.65,1.0,3.1,10.65,18.14,18.39,24.67,,27.11,40.38,48.28,62.08,65.35
a_1,0.28,0.27,0.37,0.44,0.32,1.0,4.32,7.62,10.5,7.91,10.72,11.0,,21.05,,26.22
h_1,0.06,0.07,0.05,0.06,0.09,0.23,1.0,2.26,1.65,1.85,2.2,2.39,4.56,,4.93,6.11
g_1,0.06,0.04,0.05,0.05,0.06,0.13,0.44,1.0,0.89,1.02,2.03,2.12,2.88,1.86,3.38,
c_0,0.02,0.04,0.04,,0.05,0.1,0.6,1.12,1.0,1.42,1.77,1.52,2.93,2.95,2.85,3.17
d_0,,0.04,0.03,0.06,0.04,0.13,0.54,0.98,0.7,1.0,0.99,1.25,2.01,2.59,2.7,3.49
b_0,0.02,0.03,0.02,0.03,,0.09,0.45,0.49,0.56,1.01,1.0,1.04,2.46,2.2,1.89,2.4
f_0,0.03,,0.03,0.03,0.04,0.09,0.42,0.47,0.66,0.8,0.97,1.0,1.92,2.12,2.65,2.17
a_0,0.01,0.02,0.02,0.02,0.02,,0.22,0.35,0.34,0.5,0.41,0.52,1.0,1.12,1.24,1.11
h_0,0.01,0.01,0.02,0.01,0.02,0.05,,0.54,0.34,0.39,0.46,0.47,0.89,,0.88,1.42
e_0,0.01,0.02,,0.01,0.02,,0.2,0.3,0.35,0.37,0.53,0.38,0.81,1.13,1.0,1.08
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,,0.32,0.29,0.42,0.46,0.9,0.7,0.92,
