,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.08,1.42,2.32,2.74,2.43,1.99,0.65,0.49,0.47,0.73,0.45,0.68,0.34,0.41,0.61,0.34
f_1,2.23,1.09,2.28,2.67,2.36,1.78,0.5,0.47,0.45,0.8,0.51,0.62,0.27,0.44,0.43,0.41
d_1,2.85,2.79,1.08,2.81,2.53,2.53,0.63,0.75,0.5,0.45,0.47,0.48,0.35,0.48,0.46,0.23
c_1,2.34,2.67,4.26,1.09,2.82,2.74,0.86,0.36,0.91,0.85,0.55,0.55,0.37,0.49,0.6,0.42
b_1,3.4,3.92,3.41,1.83,1.11,3.18,1.01,0.68,0.9,1.15,1.04,0.71,0.48,0.72,0.59,0.49
a_1,4.42,5.0,4.34,4.05,2.15,1.12,1.48,0.98,0.91,1.19,1.08,0.91,0.72,1.38,0.87,0.7
h_1,10.01,8.66,8.64,10.17,8.89,7.23,1.53,2.17,1.79,2.62,1.95,1.85,1.5,1.74,1.56,1.24
d_0,7.55,9.92,16.96,11.14,11.94,9.97,3.67,1.85,2.69,3.88,2.4,2.66,1.78,2.44,2.71,2.22
c_0,13.79,12.55,6.98,18.43,11.37,11.17,3.05,3.38,1.71,2.95,2.24,2.27,1.63,2.44,2.31,1.48
g_1,12.02,12.55,11.21,12.12,10.39,12.71,2.69,2.71,2.32,1.53,2.56,2.25,1.24,2.03,2.13,1.97
b_0,11.83,12.68,10.07,15.68,16.16,12.79,3.62,2.89,1.64,3.63,1.81,2.53,1.74,2.67,2.16,1.68
f_0,14.04,16.83,12.59,14.76,11.67,14.32,3.55,2.86,2.8,2.54,2.66,1.73,1.77,2.26,2.26,1.18
h_0,17.42,20.47,17.79,19.13,19.34,17.38,6.68,3.71,4.31,5.07,3.88,3.5,3.46,3.69,3.51,2.55
a_0,19.46,20.12,20.59,24.13,24.77,21.4,5.23,4.72,3.39,6.99,2.49,4.19,3.24,2.1,3.66,2.53
e_0,29.48,30.79,21.4,20.41,16.77,18.32,7.5,4.89,4.48,4.37,4.6,2.4,3.02,4.1,2.13,2.53
g_0,24.11,22.1,21.68,22.36,22.08,18.65,5.05,4.96,4.45,7.38,4.64,4.7,2.55,4.15,4.49,3.47
