,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.46,29.97,31.37,30.05,35.77,41.01,6.54,12.33,7.1,5.06,6.25,,6.78,3.25,5.14,5.62
e_1,20.18,0.44,37.17,36.2,34.68,37.68,9.09,8.77,5.76,7.29,8.39,7.25,5.26,4.93,,5.7
d_1,42.3,32.98,0.44,59.13,30.4,29.52,9.79,5.79,7.43,,6.35,6.28,5.58,3.81,8.64,2.7
c_1,32.35,35.48,26.07,0.41,40.22,33.47,8.98,16.4,,3.81,9.27,8.26,7.37,5.46,6.22,5.86
b_1,37.91,41.79,47.49,18.93,0.39,33.43,9.62,13.73,9.16,7.9,,5.81,10.76,4.37,8.85,5.56
a_1,47.81,70.63,40.37,45.52,28.83,0.32,11.06,11.2,7.8,9.16,,,,8.15,,6.98
h_1,15.34,22.59,17.94,15.2,11.11,16.14,0.38,5.02,3.84,3.73,3.09,4.58,3.56,,3.65,2.39
g_1,21.99,17.13,17.8,21.85,19.66,22.44,4.92,0.34,5.18,4.8,4.35,4.46,3.64,1.98,4.38,
c_0,17.19,12.93,10.55,,17.61,16.94,4.47,3.73,0.47,3.2,3.1,3.46,4.48,2.24,2.7,2.05
d_0,14.51,9.71,,23.87,16.11,13.06,4.41,4.6,3.25,0.49,2.61,2.51,3.01,2.21,4.88,2.1
b_0,14.89,15.16,19.1,16.46,,,4.63,6.18,1.62,3.43,0.45,2.71,3.94,3.5,4.29,3.58
f_0,,16.99,22.44,17.06,14.81,,6.17,3.62,3.54,3.57,4.95,0.43,3.2,2.25,2.99,1.07
a_0,19.75,18.57,21.65,23.88,28.1,,4.23,5.59,4.43,3.4,2.18,4.93,0.4,2.82,,2.84
h_0,11.75,14.97,12.29,11.28,14.61,12.8,,2.88,2.81,2.82,2.18,3.45,1.79,,1.69,2.37
e_0,27.32,,22.52,18.19,22.92,,5.66,3.51,4.95,6.99,4.65,2.03,,2.65,0.36,3.08
g_0,20.01,31.84,12.29,12.07,20.36,12.76,2.91,,3.13,2.6,2.54,2.8,4.34,1.33,3.25,
