,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.83,0.96,1.17,1.04,0.91,1.04,1.05,1.31,0.97,1.02,1.15,1.02,1.04,1.06,1.09
f_1,1.19,1.0,0.93,1.02,0.91,0.94,0.84,1.01,1.05,0.89,0.99,0.9,0.86,1.0,0.96,0.85
d_1,1.05,1.06,1.0,0.95,0.89,0.95,1.06,0.87,1.02,1.31,1.06,1.0,1.03,0.94,0.88,1.0
c_1,0.85,1.0,1.05,1.0,1.36,1.01,1.01,1.02,0.76,0.91,0.81,0.94,1.01,0.96,0.94,0.97
b_1,0.95,1.1,1.06,0.73,1.0,1.37,0.99,1.05,0.87,1.1,1.06,0.99,1.04,0.96,1.09,0.97
a_1,1.06,1.06,1.09,1.01,0.75,1.0,1.19,0.97,1.12,1.06,1.18,1.05,1.14,1.08,1.08,1.06
h_1,0.99,1.17,0.98,0.97,0.96,0.91,1.0,1.1,0.99,0.86,0.97,0.94,0.99,0.98,1.13,0.95
g_1,0.94,0.98,1.2,0.99,0.93,1.03,0.93,1.0,0.88,0.91,0.93,1.15,0.88,0.95,1.0,1.01
d_0,0.8,0.96,0.98,1.3,1.17,0.89,1.01,1.07,1.0,0.86,0.98,1.01,1.19,0.97,1.15,1.05
c_0,1.02,1.1,0.8,1.09,0.93,0.96,1.08,1.1,1.11,1.0,1.38,0.98,1.07,1.06,1.04,1.13
b_0,0.97,1.01,0.93,1.32,0.94,0.75,1.01,1.09,1.03,0.73,1.0,1.02,0.98,1.34,1.0,1.06
f_0,0.89,1.07,1.04,1.04,1.0,0.92,1.05,0.86,0.96,1.01,0.97,1.0,1.09,1.07,0.92,1.44
h_0,0.98,1.13,0.98,0.98,0.95,0.87,0.97,1.16,0.86,0.93,1.0,0.92,1.0,0.94,1.19,0.93
a_0,0.94,1.01,1.0,1.09,1.06,0.93,1.05,1.04,1.03,0.89,0.82,1.07,1.13,1.0,1.02,0.94
g_0,0.97,1.08,1.15,1.04,0.9,0.88,0.86,1.01,0.9,0.93,0.97,1.12,0.86,0.99,1.0,0.97
e_0,0.94,1.24,1.0,1.01,1.02,0.99,1.08,0.95,0.92,0.88,1.0,0.74,1.08,0.97,0.93,1.0
