,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.23,0.94,0.56,0.42,0.36,0.31,0.87,0.87,0.6,0.93,0.81,0.3,0.93,0.51,0.76,0.65
e_1,0.66,2.24,0.51,0.36,0.42,0.33,0.89,2.03,0.9,0.94,1.19,1.01,1.28,0.37,1.1,1.03
c_1,0.47,0.48,2.38,0.48,0.86,0.36,0.8,0.89,0.74,0.26,0.59,0.79,0.98,0.69,0.65,1.1
d_1,0.56,0.54,0.36,2.53,0.38,0.29,1.05,0.38,0.77,2.05,1.09,0.87,1.36,0.94,0.76,1.21
b_1,0.46,0.46,0.46,0.48,2.58,0.83,0.73,1.04,0.65,0.82,0.3,1.05,1.28,0.95,0.57,1.07
a_1,0.6,0.47,0.49,0.53,0.36,3.01,0.87,1.06,0.72,0.81,1.02,0.95,1.36,1.03,0.41,1.03
h_1,0.85,0.56,0.57,0.56,0.54,0.39,2.98,1.11,1.27,1.21,1.02,1.02,0.66,1.19,0.76,1.63
d_0,0.71,0.5,1.2,0.28,0.56,0.33,1.2,2.5,1.12,0.89,1.11,0.97,1.58,1.17,1.09,1.47
g_1,0.6,0.44,0.55,0.93,0.53,0.45,1.09,1.15,3.38,1.35,1.28,1.57,1.35,1.16,0.87,0.83
c_0,0.78,0.63,0.43,0.69,0.32,0.39,1.08,1.22,1.03,2.7,2.51,1.44,1.51,1.02,1.16,1.24
b_0,0.77,0.66,0.62,0.62,0.36,0.33,1.31,1.24,1.08,1.16,2.86,1.19,1.31,1.0,2.01,1.44
f_0,0.36,0.5,0.72,0.62,0.59,0.51,1.26,1.48,1.12,1.1,1.2,3.0,1.53,2.1,0.82,1.71
h_0,0.8,0.62,0.64,0.55,0.56,0.47,0.56,1.24,1.31,1.38,1.11,0.99,0.97,1.29,0.84,2.11
e_0,0.75,0.2,0.91,0.52,0.62,0.53,1.31,1.11,0.99,1.34,1.14,1.41,1.68,3.12,0.78,1.65
a_0,0.68,0.61,0.77,0.53,0.53,0.24,1.19,1.39,1.14,1.32,1.14,1.1,1.63,1.19,3.15,1.76
g_0,0.52,0.5,0.67,0.94,0.6,0.39,1.19,1.14,0.62,1.2,1.03,1.97,1.3,1.23,0.8,0.83
