,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.94,0.29,0.26,0.29,0.46,0.12,0.23,0.18,0.16,0.06,0.18,0.12,0.16,0.12,0.1,0.12
f_1,0.32,0.94,0.33,0.44,0.23,0.14,0.19,0.19,0.15,0.16,0.06,0.16,0.14,0.07,0.12,0.13
d_1,0.28,0.29,0.94,0.24,0.28,0.17,0.21,0.17,0.11,0.3,0.16,0.2,0.16,0.14,0.12,0.13
e_1,0.32,0.26,0.26,0.94,0.27,0.2,0.18,0.16,0.32,0.16,0.17,0.16,0.19,0.07,0.11,0.17
b_1,0.24,0.35,0.25,0.3,0.93,0.37,0.25,0.17,0.22,0.18,0.17,0.07,0.15,0.13,0.13,0.12
a_1,0.49,0.35,0.31,0.3,0.23,0.93,0.2,0.22,0.22,0.21,0.17,0.18,0.18,0.18,0.05,0.17
h_1,0.48,0.75,0.55,0.5,0.37,0.4,0.72,0.37,0.32,0.35,0.31,0.33,0.17,0.17,0.22,0.32
g_1,0.51,0.47,0.8,0.51,0.46,0.32,0.38,0.72,0.33,0.34,0.48,0.3,0.25,0.29,0.29,0.18
d_0,1.02,0.66,0.35,0.49,0.47,0.34,0.33,0.35,0.6,0.3,0.35,0.31,0.27,0.23,0.24,0.28
c_0,0.49,0.66,0.61,0.58,0.44,0.38,0.42,0.38,0.39,0.62,0.37,0.59,0.35,0.31,0.33,0.38
f_0,0.57,0.42,0.74,0.57,0.6,0.5,0.38,0.31,0.37,0.39,0.61,0.4,0.32,0.44,0.3,0.29
b_0,0.62,0.77,0.63,0.64,0.3,0.34,0.37,0.43,0.43,0.34,0.3,0.6,0.36,0.29,0.51,0.32
h_0,0.64,0.86,0.66,0.61,0.61,0.45,0.25,0.56,0.45,0.37,0.38,0.34,0.24,0.26,0.33,0.39
e_0,0.72,0.98,0.62,,0.69,0.39,0.6,0.35,0.37,0.32,0.35,0.4,0.45,0.62,0.3,0.36
a_0,0.88,0.75,0.89,0.63,0.56,,0.49,0.34,0.39,0.3,0.29,0.2,0.32,0.25,0.59,0.39
g_0,0.74,0.59,1.03,0.57,0.65,0.37,0.38,0.27,0.39,0.36,0.48,0.35,0.33,0.24,0.29,0.22
