,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.9,1.15,1.6,2.12,4.03,18.72,50.06,38.52,36.28,56.63,79.93,75.03,94.31,123.7,147.74
f_1,1.11,1.0,1.16,1.26,1.49,3.13,13.95,28.97,34.47,32.54,39.21,48.72,81.31,71.8,84.16,118.79
d_1,0.87,0.87,1.0,0.99,1.28,3.29,16.16,26.3,22.78,38.81,43.94,43.93,68.83,72.94,89.68,88.68
c_1,0.62,0.8,1.02,1.0,1.76,2.75,14.74,16.97,22.22,21.19,29.65,40.18,53.87,69.82,74.4,102.74
b_1,0.47,0.67,0.78,0.57,1.0,3.1,10.34,18.56,19.41,22.74,23.58,34.01,40.23,52.0,64.31,60.61
a_1,0.25,0.31,0.3,0.37,0.33,1.0,5.36,7.59,9.32,9.82,14.47,15.08,19.04,24.18,24.12,35.18
h_1,0.05,0.07,0.06,0.07,0.1,0.18,1.0,1.68,1.77,1.77,2.31,2.72,4.13,4.91,5.19,7.8
d_0,0.02,0.03,0.04,0.06,0.06,0.14,0.58,1.0,1.1,0.88,1.45,1.69,2.61,2.96,3.29,4.0
g_1,0.02,0.03,0.04,0.05,0.06,0.11,0.57,0.88,1.0,1.15,1.3,2.2,2.73,2.32,3.32,4.27
c_0,0.03,0.03,0.03,0.05,0.04,0.1,0.59,1.09,0.91,1.0,1.93,1.63,2.59,2.42,2.85,4.12
b_0,0.02,0.02,0.02,0.03,0.04,0.07,0.44,0.66,0.73,0.52,1.0,1.2,2.69,2.0,2.09,2.67
f_0,0.01,0.02,0.02,0.02,0.03,0.06,0.36,0.54,0.46,0.6,0.83,1.0,1.43,1.54,2.69,1.85
a_0,0.01,0.01,0.01,0.02,0.03,0.06,0.25,0.41,0.38,0.38,0.39,0.71,1.0,1.16,1.35,1.52
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.35,0.41,0.39,0.51,0.64,0.88,1.0,1.04,1.7
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.31,0.3,0.37,0.51,0.39,0.73,0.96,1.0,1.2
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.25,0.23,0.26,0.37,0.54,0.65,0.6,0.87,1.0
