,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.38,1.69,0.96,1.08,0.91,0.69,1.81,1.56,2.29,1.81,2.04,1.32,1.87,2.44,2.21,1.25
e_1,1.17,2.37,0.95,1.26,0.87,0.8,2.31,1.78,3.45,2.23,2.4,2.13,2.14,2.73,2.46,1.48
d_1,1.15,1.05,2.43,0.86,0.91,0.88,2.05,1.89,1.48,3.73,2.83,2.35,1.97,2.67,2.57,2.0
c_1,1.08,1.03,1.01,2.49,1.69,0.95,1.63,1.48,2.03,1.35,1.35,1.77,1.69,2.58,2.16,1.59
b_1,1.04,0.98,1.19,1.0,2.67,1.7,1.76,1.66,2.04,1.86,1.44,1.98,1.29,2.56,2.3,1.56
a_1,1.13,1.0,1.18,1.02,1.07,3.05,2.05,1.95,2.11,2.01,1.88,2.16,1.27,3.34,2.57,1.71
h_1,1.5,1.13,1.17,1.17,0.91,0.79,3.46,2.32,2.47,2.29,2.36,2.14,1.85,2.34,3.32,2.15
g_1,1.03,1.12,1.67,1.1,0.89,0.93,1.76,3.7,1.85,2.36,2.28,2.86,1.73,2.82,2.49,1.91
d_0,1.18,1.05,0.87,1.93,1.14,0.82,2.01,1.9,3.3,1.56,2.02,2.08,2.09,2.86,2.63,1.87
c_0,1.31,1.28,1.14,1.04,0.81,0.79,2.22,2.22,2.54,3.44,4.49,2.48,2.58,3.06,2.65,2.18
b_0,1.4,1.14,1.24,1.19,0.84,0.67,2.05,2.3,2.35,2.25,3.52,1.94,3.87,3.49,2.88,1.81
f_0,1.04,1.1,1.21,1.3,1.11,0.91,2.3,2.04,2.59,2.3,2.34,3.68,2.01,2.99,2.85,3.91
a_0,1.41,1.2,1.26,1.19,0.9,0.66,2.39,2.25,2.41,2.22,2.63,2.29,3.83,2.85,2.92,1.72
h_0,1.58,1.24,1.25,1.12,0.97,0.67,1.49,2.54,2.0,2.06,2.1,2.18,1.77,2.28,3.59,1.81
g_0,1.18,1.07,1.53,1.14,1.0,0.93,2.21,1.62,2.13,2.16,2.02,3.03,2.0,2.99,2.25,2.18
e_0,1.33,1.1,1.22,1.3,0.96,0.89,1.96,2.26,1.97,2.39,2.47,1.87,2.13,3.18,2.92,3.95
