,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.5,0.85,0.77,1.12,0.79,0.76,1.05,1.63,0.97,0.9,0.95,1.0,1.12,0.81,0.84,1.09
f_1,1.35,1.53,0.78,0.86,0.87,0.62,0.85,1.07,0.88,0.97,1.04,0.65,1.01,0.62,0.88,0.87
d_1,0.97,1.01,1.57,0.76,0.77,0.61,1.07,0.88,0.88,1.61,1.17,1.05,1.17,1.03,0.95,0.92
c_1,0.77,0.97,0.95,1.58,1.39,0.73,1.02,0.78,0.97,0.69,0.82,0.99,1.07,0.79,0.77,0.95
b_1,0.98,0.91,0.92,0.77,1.61,1.31,1.05,1.1,1.0,1.0,0.88,1.08,1.33,0.84,0.74,1.02
a_1,0.96,1.16,1.13,1.0,0.75,1.78,1.24,1.16,1.05,1.28,1.14,1.18,1.21,0.94,0.77,1.21
h_1,1.15,1.45,1.11,1.11,1.05,0.82,1.83,1.25,1.47,1.22,1.23,0.99,1.18,1.1,0.95,1.49
d_0,1.01,1.2,0.96,1.86,1.08,0.91,1.37,1.72,1.19,1.08,1.16,1.35,1.4,1.05,1.11,1.39
g_1,1.13,1.09,1.64,1.02,1.02,0.88,1.1,1.2,1.89,1.37,1.39,1.78,1.38,1.2,1.17,1.15
c_0,1.4,1.36,1.14,1.09,0.97,0.8,1.46,1.39,1.31,1.78,2.07,1.44,1.5,1.32,1.42,1.29
b_0,1.46,1.3,1.27,1.22,0.8,0.8,1.42,1.5,1.27,1.3,1.82,1.35,1.63,1.35,2.1,1.29
f_0,1.15,1.31,1.34,1.14,1.19,0.93,1.76,1.39,1.23,1.4,1.38,1.8,1.49,2.07,0.97,1.3
h_0,1.24,1.61,1.31,1.21,1.02,0.88,1.19,1.42,1.57,1.36,1.37,1.45,1.26,1.24,1.26,1.83
e_0,1.09,1.8,1.17,1.34,1.13,0.94,1.64,1.54,1.24,1.55,1.32,1.31,1.63,1.95,1.19,1.49
a_0,1.34,1.51,1.36,1.27,1.1,0.62,1.57,1.55,1.49,1.46,1.26,1.61,1.54,1.48,1.86,1.43
g_0,1.21,1.28,1.73,1.38,1.28,0.96,1.36,1.16,1.21,1.55,1.42,1.92,1.31,1.24,1.14,1.32
