,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.81,0.96,0.94,0.71,0.63,0.63,0.65,0.8,0.71,0.6,0.53,0.47,0.43,0.56
e_1,0.75,1.0,0.99,1.09,0.96,1.04,0.72,0.66,0.93,0.78,0.69,0.73,0.63,0.62,0.64,0.59
d_1,1.22,1.01,1.0,0.9,0.91,0.8,0.76,0.86,0.62,0.52,0.7,0.69,0.66,0.63,0.66,0.52
c_1,1.04,0.91,1.11,1.0,1.39,0.77,0.67,0.57,0.46,0.63,0.55,0.66,0.59,0.53,0.59,0.45
b_1,1.06,1.05,1.11,0.72,1.0,1.39,0.78,0.73,0.71,0.77,0.7,0.56,0.51,0.71,0.56,0.71
a_1,1.41,0.96,1.25,1.32,0.72,1.0,0.93,0.76,0.81,0.79,0.74,0.67,0.62,0.7,0.78,0.67
h_1,1.69,1.36,1.3,1.45,1.36,1.07,1.0,0.93,0.99,1.05,0.94,0.86,0.81,0.87,0.77,0.89
c_0,1.5,1.6,1.14,1.7,1.34,1.33,1.09,1.0,1.09,1.09,1.41,0.91,1.01,0.85,0.84,0.85
d_0,1.52,1.05,1.74,2.12,1.48,1.29,0.98,0.88,1.0,1.06,0.97,1.0,0.79,0.85,0.91,0.85
g_1,1.3,1.24,1.94,1.55,1.36,1.16,0.96,0.87,0.94,1.0,0.9,1.18,0.94,0.84,0.84,0.91
b_0,1.4,1.47,1.38,1.85,1.4,1.27,1.05,0.75,1.08,1.13,1.0,1.03,1.36,0.92,0.8,0.9
f_0,1.75,1.38,1.49,1.51,1.79,1.47,1.18,1.07,1.0,0.8,0.91,1.0,0.97,0.95,1.37,0.71
a_0,1.94,1.62,1.55,1.61,1.76,1.71,1.24,1.01,1.37,1.0,0.76,1.01,1.0,1.11,0.96,1.07
h_0,2.13,1.62,1.6,1.84,1.41,1.53,1.14,1.13,1.23,1.19,1.15,0.99,0.9,1.0,0.94,1.1
e_0,2.42,1.63,1.47,1.76,1.61,1.43,1.29,1.2,1.13,1.19,1.27,0.71,1.17,1.07,1.0,1.06
g_0,1.84,1.67,2.02,2.1,1.38,1.43,1.12,1.16,1.18,1.04,1.04,1.28,0.93,0.88,0.95,1.0
