,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,1.72,1.46,1.75,3.1,22.72,41.09,34.38,31.12,41.74,54.22,70.15,86.54,129.66,144.23
f_1,1.23,1.0,1.47,1.27,1.76,2.81,17.33,29.33,28.79,27.86,41.05,39.5,58.21,87.39,92.95,167.29
c_1,0.57,0.69,1.0,1.14,1.68,2.34,15.46,15.25,23.61,20.54,26.43,30.4,48.58,53.65,75.03,107.42
d_1,0.69,0.79,0.86,1.0,1.11,1.93,15.63,20.4,16.33,27.49,31.96,30.63,51.5,69.43,79.35,73.74
b_1,0.57,0.56,0.61,0.9,1.0,2.87,12.0,14.13,17.26,19.68,24.77,26.97,44.45,47.28,60.16,74.89
a_1,0.32,0.35,0.42,0.52,0.35,1.0,7.99,9.2,11.3,10.92,15.82,13.02,23.93,30.66,35.55,46.26
h_1,0.04,0.06,0.07,0.07,0.08,0.12,1.0,1.21,1.48,1.38,1.85,2.07,3.23,4.36,4.91,6.86
d_0,0.02,0.03,0.07,0.05,0.07,0.1,0.77,1.0,0.98,1.03,1.57,1.56,2.82,2.94,4.65,5.53
g_1,0.03,0.03,0.04,0.06,0.06,0.09,0.67,0.97,1.0,1.12,1.57,1.8,2.12,3.26,4.38,4.14
c_0,0.03,0.04,0.05,0.04,0.05,0.08,0.73,0.99,0.88,1.0,1.98,1.44,2.72,3.32,3.89,4.65
b_0,0.02,0.03,0.04,0.03,0.04,0.06,0.58,0.65,0.63,0.51,1.0,1.04,1.54,2.91,2.46,3.6
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.48,0.62,0.55,0.7,0.96,1.0,1.59,2.14,3.52,2.5
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.32,0.36,0.47,0.36,0.63,0.61,1.0,1.16,1.49,2.0
a_0,0.01,0.01,0.02,0.01,0.02,0.03,0.22,0.35,0.31,0.3,0.36,0.45,0.84,1.0,1.28,1.52
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.22,0.22,0.26,0.4,0.29,0.69,0.74,1.0,1.16
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.18,0.25,0.21,0.29,0.42,0.5,0.7,0.88,1.0
