,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,17.72,0.58,0.38,0.4,0.54,0.7,0.78,0.85,0.41,2.15,1.18,1.12,1.1,1.03,1.03,1.14
f_1,0.47,17.87,1.16,0.54,0.42,0.38,0.87,0.82,0.84,0.79,0.8,0.32,0.94,0.86,1.03,0.49
e_1,0.46,0.56,17.92,0.61,0.59,0.53,0.91,0.68,1.91,0.94,0.99,0.9,0.87,0.95,0.86,0.37
c_1,0.5,0.45,0.45,21.67,1.15,0.45,0.98,0.95,0.9,0.21,0.6,1.05,0.96,0.82,0.77,0.95
b_1,0.58,0.49,0.51,0.57,22.26,1.14,0.69,0.76,0.79,0.69,0.33,1.11,0.85,0.81,1.02,0.98
a_1,0.6,0.5,0.47,0.56,0.49,33.76,0.98,1.05,0.84,0.88,1.13,1.03,0.86,0.42,1.04,1.11
h_1,0.69,1.11,0.52,0.74,0.54,0.53,5.45,1.8,1.14,0.99,1.05,0.97,0.68,1.32,1.49,1.22
g_1,1.35,0.6,0.57,0.78,0.59,0.51,1.02,6.68,0.9,1.08,1.09,1.66,1.2,0.91,0.36,1.28
d_0,0.35,0.66,0.68,1.79,0.63,0.61,1.26,1.08,3.25,0.85,1.32,0.98,1.29,0.93,1.05,1.69
c_0,0.82,0.86,0.58,0.35,0.58,0.72,1.51,1.04,1.23,2.88,3.07,1.24,1.44,1.58,1.11,1.72
b_0,0.84,0.91,0.63,0.74,0.28,0.6,1.32,1.18,1.03,1.15,3.79,0.94,1.6,2.55,1.53,1.08
f_0,0.87,0.41,0.58,0.63,0.66,0.73,1.11,1.19,1.26,1.29,1.34,4.11,1.3,1.62,1.4,4.06
h_0,0.78,1.44,0.74,0.61,0.57,0.5,0.56,1.48,0.94,1.17,1.35,1.01,0.61,1.21,1.77,0.96
a_0,0.65,0.89,0.75,0.84,0.57,0.22,1.27,0.98,1.44,1.45,1.41,1.18,1.57,4.72,1.3,1.19
g_0,1.41,0.5,0.67,0.83,0.61,0.56,0.91,0.65,0.86,1.25,1.3,2.23,1.33,1.27,0.84,1.27
e_0,0.99,0.86,0.29,0.62,0.7,0.66,1.15,1.25,0.95,1.07,1.53,1.12,1.68,1.12,1.1,5.55
