,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,99.98,10.38,14.66,18.88,19.52,61.73,2284.76,5785.43,3957.63,6276.21,6738.37,8233.35,24232.25,24035.57,,27237.86
f_1,19.01,108.12,15.49,17.01,24.92,77.68,1956.1,2854.3,4194.9,6268.59,6195.39,,17974.64,15324.82,27806.58,34235.59
d_1,9.8,15.2,139.39,14.56,16.39,62.9,2496.35,,3189.13,6267.36,6347.36,8445.28,18291.96,14061.95,32346.27,26372.64
c_1,10.37,11.09,11.66,155.48,32.71,48.56,2027.92,2517.11,3268.61,,6136.66,6629.57,17120.62,18274.98,26997.89,31522.91
b_1,9.25,8.42,15.59,16.91,187.1,87.77,1206.68,2046.35,3682.17,4624.79,,8166.32,18545.36,15197.24,,30429.69
a_1,7.0,5.64,10.28,12.24,9.05,432.28,1400.66,1479.37,2851.19,2331.89,4989.52,4554.45,16242.96,,,21750.58
h_1,5.24,7.58,5.79,7.19,13.94,25.53,3442.49,1420.88,1670.51,1785.09,3339.48,2983.27,,6689.3,13056.79,21207.54
d_0,3.36,4.83,,15.25,12.61,31.26,924.63,3586.57,1625.3,2022.45,3704.67,3709.89,10178.55,9305.4,14088.21,17233.8
g_1,3.37,3.78,8.4,5.45,7.47,20.52,872.97,1033.19,5812.92,2112.49,1771.96,4119.21,7257.54,8553.24,8782.27,
c_0,4.62,4.71,6.61,,5.67,29.41,966.61,1402.42,1359.48,5545.33,4349.47,3392.17,5861.2,7512.32,7590.02,13410.92
b_0,3.65,4.65,6.98,5.06,,17.91,727.8,1069.28,1852.02,1497.08,6891.94,3268.96,7218.24,9889.77,9130.37,14778.71
f_0,3.71,,4.8,6.36,9.14,24.29,783.73,1016.95,1308.34,2043.38,1891.43,7862.14,7626.87,5779.46,15271.65,8781.12
h_0,3.59,5.73,5.27,7.01,8.1,15.28,,1012.86,1591.02,1726.48,2161.16,2346.08,,5236.3,7292.02,15217.76
a_0,2.55,3.19,5.71,3.55,5.07,,668.93,819.25,780.68,1290.85,1914.41,2351.2,6410.58,15959.41,,7092.39
e_0,,2.62,3.37,4.6,,,456.11,785.37,962.94,1671.18,1328.19,1759.19,5997.17,,19638.83,9432.47
g_0,3.06,2.99,6.86,5.5,7.61,15.69,468.58,727.5,,1807.78,1975.25,2459.32,3394.96,5271.05,7675.95,
