,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,106.67,11.88,16.15,16.76,18.45,79.1,1777.42,5081.77,3739.52,3444.22,6224.16,7649.55,18310.75,24524.83,,46247.68
f_1,20.07,116.81,18.63,10.54,24.6,69.93,1566.97,3865.47,3496.71,3194.65,5918.37,,18475.9,24784.12,,
c_1,11.59,12.67,131.29,16.55,35.66,57.56,2070.1,2327.97,,4105.26,5814.78,4743.03,14186.57,19548.71,38771.34,46150.67
d_1,10.1,17.67,11.65,143.67,17.7,60.64,1799.11,,5740.0,3202.46,5119.5,6711.67,13795.9,23920.64,,34866.61
b_1,10.82,8.05,10.54,14.33,180.5,109.04,1921.49,3464.42,3361.2,2602.21,,6649.6,14107.58,17438.71,,31423.9
a_1,5.95,8.4,8.1,10.97,9.61,505.16,1077.66,1432.91,2160.3,1784.56,3211.25,4451.26,,14892.59,,22204.42
h_1,4.98,7.33,5.52,9.51,10.83,43.56,3067.13,1106.36,1738.8,2212.94,2234.49,3835.7,7409.46,,12429.18,29558.5
d_0,5.22,5.3,12.08,,10.0,35.76,922.31,3575.19,1879.87,1431.9,3013.53,2911.97,7465.46,13257.56,12974.44,20420.65
c_0,5.4,6.34,,6.37,9.52,39.68,594.96,1288.91,4210.44,1697.13,3839.16,3333.44,8130.48,9247.6,14785.44,22426.1
g_1,3.78,3.54,4.98,9.95,8.36,23.56,653.73,1291.17,1461.6,5430.33,2472.36,3367.79,4364.54,8331.56,10622.9,
b_0,4.06,4.76,4.83,6.59,,32.45,759.06,1238.41,1267.0,1433.59,6175.15,2480.72,9481.6,7612.87,15437.33,19272.15
f_0,4.21,,6.91,5.69,6.06,19.67,687.61,1254.48,1411.25,1101.48,2045.38,7174.98,6768.74,6942.26,21013.77,14006.54
a_0,3.06,3.73,3.59,4.7,5.27,,540.04,1019.84,1046.73,1262.32,1343.7,1965.72,14559.4,5310.25,,
h_0,3.44,5.6,5.21,4.71,7.61,19.92,,799.12,1236.55,1035.85,2068.71,2600.0,5615.24,,10559.89,18849.02
e_0,,,3.5,,,,381.29,862.05,812.4,821.88,1160.78,1387.61,,5684.12,24452.34,9514.76
g_0,2.42,,3.61,6.07,6.09,17.49,392.25,805.59,1026.4,,1564.89,2341.96,,6137.77,7192.4,
