,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12.12,1.47,0.56,0.67,0.57,0.48,0.81,0.75,0.86,0.91,0.98,0.59,0.96,0.88,0.63,0.87
e_1,0.68,12.29,0.94,0.53,0.61,0.59,0.95,0.96,2.41,0.9,1.1,0.94,0.95,0.92,0.59,1.03
c_1,0.59,0.51,13.77,0.72,1.46,0.65,0.86,0.92,0.86,0.35,0.63,0.98,1.05,0.84,1.06,0.97
d_1,0.7,0.62,0.45,14.64,0.65,0.61,0.97,0.89,0.46,2.37,1.36,1.01,1.01,1.22,1.08,0.97
b_1,0.65,0.57,0.7,0.55,14.79,1.71,0.97,0.92,0.91,0.89,0.46,0.98,0.8,0.85,1.1,0.95
a_1,0.71,0.69,0.63,0.85,0.57,21.88,1.03,0.93,0.85,1.03,1.01,0.98,0.94,0.65,0.95,0.66
h_1,1.08,0.66,0.71,0.94,0.72,0.59,3.6,1.52,0.91,1.06,1.01,0.96,0.74,1.04,1.13,1.94
g_1,0.64,0.43,0.79,1.81,0.62,0.71,0.94,4.61,0.85,1.03,1.08,2.18,1.1,1.25,1.7,0.88
d_0,0.64,0.64,2.64,0.44,0.84,0.69,0.97,0.97,2.04,0.58,1.05,1.08,1.22,0.8,1.19,1.32
c_0,1.02,0.7,0.57,0.89,0.49,0.88,1.27,1.0,1.01,2.22,3.21,1.12,1.25,1.42,1.23,1.0
b_0,1.01,0.74,0.91,0.86,0.39,0.69,1.11,1.09,0.96,1.1,2.81,0.97,1.45,2.94,1.08,1.23
f_0,0.55,0.53,1.06,0.78,0.72,0.92,1.47,1.23,1.3,1.07,0.89,3.14,1.4,0.72,3.52,1.36
h_0,1.26,0.79,0.76,0.83,0.67,0.69,0.53,1.64,0.92,0.99,1.0,1.28,0.9,1.21,0.93,1.76
a_0,0.83,0.87,0.77,0.82,0.76,0.67,1.19,0.79,0.69,1.1,1.24,0.98,1.31,3.4,0.82,1.13
e_0,0.94,0.41,0.8,0.71,0.91,0.87,1.16,1.38,1.12,0.85,1.1,1.52,1.52,1.07,3.62,1.4
g_0,0.63,0.55,0.8,1.49,0.78,0.74,0.99,1.0,0.78,1.18,0.98,1.97,1.28,1.05,1.31,0.74
