,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.1,1.9,3.49,3.59,3.28,2.86,1.05,1.1,0.69,0.66,0.72,0.75,0.66,0.44,1.0,0.55
f_1,2.68,1.11,2.94,3.92,2.7,3.08,0.71,1.02,0.6,0.65,0.63,0.86,0.65,0.32,0.6,0.51
d_1,4.22,3.57,1.1,3.07,3.09,2.73,0.9,0.59,0.64,1.28,0.61,0.61,0.64,0.42,0.54,0.3
c_1,2.64,3.27,4.44,1.11,3.75,2.63,0.85,0.86,0.99,0.39,0.7,0.7,0.58,0.5,0.66,0.5
b_1,3.81,4.5,3.61,1.93,1.12,3.78,1.09,1.05,1.02,0.75,1.47,0.75,0.8,0.52,0.67,0.52
a_1,6.53,5.35,5.61,5.52,2.97,1.13,1.67,1.85,1.28,1.33,1.5,1.18,1.93,0.99,0.96,0.87
h_1,9.57,10.84,9.38,10.16,10.54,9.9,1.57,2.75,2.06,2.22,2.27,2.09,2.11,2.01,1.99,1.64
g_1,13.13,15.12,14.05,15.44,15.02,14.45,3.34,1.68,2.79,3.25,3.0,3.2,3.02,1.63,3.1,2.59
c_0,16.76,16.34,8.46,25.37,14.66,17.67,4.6,4.54,1.89,4.88,2.8,3.16,3.32,2.09,2.69,1.88
d_0,9.18,14.19,24.16,17.23,17.15,15.34,5.36,6.36,3.52,2.06,3.89,3.95,2.96,2.29,3.43,2.75
b_0,16.68,16.11,13.02,27.97,19.09,12.93,4.4,4.77,1.78,3.87,1.88,3.07,3.49,2.61,2.87,2.39
f_0,18.77,27.8,15.91,17.98,18.51,18.5,5.39,2.88,3.35,3.31,3.36,2.04,3.21,2.91,3.07,1.48
a_0,20.43,20.16,22.09,31.47,26.39,31.92,6.69,7.26,3.7,5.54,2.34,5.88,2.23,3.62,4.43,4.53
h_0,23.65,25.72,23.65,23.89,24.28,20.61,8.98,7.77,4.81,5.8,4.67,4.75,4.94,5.12,4.12,3.41
e_0,35.6,34.82,24.16,25.98,24.88,27.49,9.74,6.89,5.32,5.86,6.0,2.86,5.55,4.0,2.36,2.89
g_0,30.03,32.83,24.33,27.74,26.16,25.7,5.87,8.35,5.15,6.03,5.65,5.2,4.88,3.15,5.0,4.59
