,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,33.2,0.13,0.08,0.08,0.05,0.07,0.36,0.2,0.43,0.34,0.38,,0.58,0.38,0.25,0.48
e_1,0.07,34.77,0.05,0.07,0.07,0.06,0.26,0.19,0.37,0.74,0.36,0.38,0.71,0.41,,0.57
d_1,0.05,0.07,41.21,0.06,0.06,0.09,0.34,0.31,0.67,,0.33,0.41,0.56,0.4,0.36,0.76
c_1,0.07,0.06,0.06,43.86,0.14,0.07,0.29,0.27,,0.44,0.34,0.35,0.66,0.34,0.45,0.58
b_1,0.08,0.07,0.06,0.09,49.57,0.11,0.28,0.32,0.37,0.33,,0.46,0.55,0.29,0.38,0.54
a_1,0.05,0.05,0.05,0.05,0.09,76.05,0.38,0.36,0.43,0.51,0.35,0.39,0.6,,,0.67
h_1,0.34,0.22,0.23,0.19,0.3,0.23,29.3,1.99,1.34,1.35,1.84,1.33,,1.75,1.35,3.02
g_1,0.19,0.19,0.39,0.23,0.31,0.25,0.78,35.59,2.25,1.04,1.97,2.68,1.59,1.33,1.3,
c_0,0.41,0.37,0.37,,0.27,0.26,1.7,1.45,18.74,1.88,3.5,2.67,2.58,1.57,1.68,3.66
d_0,0.38,0.36,,0.77,0.42,0.3,1.81,1.04,1.37,18.11,1.68,1.43,4.08,1.88,2.03,3.29
b_0,0.36,0.41,0.43,0.25,,0.23,1.63,1.77,1.89,2.11,21.21,2.15,3.24,3.4,1.76,2.14
f_0,,0.32,0.32,0.28,0.3,0.59,1.54,1.23,1.68,1.85,2.16,25.9,3.89,,5.49,3.23
h_0,0.91,0.55,0.74,0.52,0.63,0.71,,2.35,2.93,2.13,3.06,2.07,,3.07,3.5,3.92
a_0,0.37,0.26,0.38,0.55,0.26,,1.43,1.04,2.54,2.44,1.32,1.71,3.9,30.35,,3.21
e_0,0.39,,0.42,0.25,,0.39,1.64,2.96,1.58,2.92,1.38,2.11,2.61,2.64,36.31,
g_0,0.36,0.43,0.93,0.75,0.56,0.49,1.85,,2.57,2.98,3.48,3.44,4.98,2.59,4.16,
