,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.43,0.68,1.31,1.26,1.16,1.16,0.38,0.36,0.27,0.23,0.26,0.31,0.18,0.21,0.23,0.39
f_1,1.04,0.43,1.13,1.23,1.17,1.03,0.26,0.35,0.23,0.26,0.22,0.35,0.11,0.18,0.21,0.22
d_1,1.39,1.32,0.41,1.16,1.19,1.17,0.34,0.21,0.42,0.23,0.23,0.21,0.18,0.1,0.24,0.21
c_1,0.99,1.21,1.65,0.41,1.16,1.02,0.34,0.35,0.15,0.33,0.25,0.24,0.19,0.17,0.2,0.21
b_1,1.29,1.56,1.32,0.74,0.39,1.19,0.42,0.44,0.28,0.35,0.37,0.27,0.21,0.21,0.27,0.27
a_1,1.73,2.05,1.58,1.46,0.85,0.32,0.51,0.51,0.4,0.34,0.35,0.29,0.25,0.26,0.48,0.29
h_1,2.11,2.12,1.93,2.11,2.23,1.78,0.3,0.61,0.5,0.41,0.4,0.48,0.36,0.32,0.39,0.35
g_1,2.31,2.61,2.04,2.38,2.64,2.12,0.53,0.28,0.58,0.53,0.5,0.46,0.28,0.41,0.55,0.46
d_0,1.46,2.18,3.45,2.37,2.54,2.37,0.78,0.91,0.34,0.51,0.55,0.53,0.38,0.4,0.46,0.52
c_0,2.85,2.72,1.4,3.82,2.32,3.06,0.75,0.68,0.73,0.32,0.63,0.47,0.41,0.38,0.45,0.51
b_0,2.69,2.63,1.99,4.09,4.12,2.63,0.76,0.8,0.62,0.31,0.31,0.55,0.43,0.36,0.5,0.5
f_0,2.5,4.08,2.26,2.98,2.88,2.5,0.62,0.48,0.59,0.48,0.62,0.29,0.45,0.28,0.53,0.46
h_0,2.91,3.12,2.83,2.76,2.68,2.44,1.18,0.83,0.61,0.65,0.52,0.53,0.52,0.42,0.5,0.53
g_0,3.32,3.61,3.26,3.08,3.31,3.01,0.68,1.04,0.71,0.63,0.56,0.56,0.4,0.62,0.7,0.57
a_0,3.31,3.24,2.94,3.25,4.21,4.25,0.87,0.8,0.73,0.62,0.34,0.56,0.49,0.51,0.29,0.6
e_0,4.28,4.68,3.07,3.5,3.04,3.01,0.86,0.79,0.71,0.7,0.67,0.36,0.53,0.47,0.63,0.28
