,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.18,0.64,0.41,0.75,0.58,0.52,0.76,2.12,0.84,0.91,1.05,1.03,1.17,1.15,0.46,0.83
f_1,1.24,15.07,0.51,0.56,0.42,0.5,1.02,0.83,0.91,0.71,0.95,0.4,0.78,0.84,0.71,1.01
d_1,0.54,0.57,20.56,0.35,0.56,0.56,0.9,0.28,2.23,0.92,0.98,1.0,0.98,1.05,0.92,1.0
c_1,0.48,0.46,0.52,20.64,1.45,0.52,0.68,0.87,0.22,0.71,0.72,0.83,0.89,0.68,1.0,0.87
b_1,0.41,0.56,0.55,0.65,21.19,1.31,0.79,0.9,0.83,1.08,0.49,0.92,0.91,0.7,1.01,0.79
a_1,0.55,0.74,0.63,0.6,0.46,28.41,0.98,0.99,0.71,0.57,0.88,0.83,0.94,0.34,1.13,1.05
h_1,0.56,1.26,0.89,0.61,0.6,0.56,5.04,0.91,1.26,1.6,1.31,1.25,0.73,1.32,0.94,1.62
d_0,0.69,0.77,0.4,1.94,0.75,0.67,0.96,2.55,0.71,1.01,1.07,1.15,1.38,1.08,1.06,1.15
c_0,0.72,0.98,0.98,0.37,0.55,0.9,1.44,0.88,2.98,1.13,2.61,1.25,1.23,1.41,1.35,1.32
g_1,0.47,0.5,1.98,0.65,0.52,0.75,1.2,0.89,1.04,6.84,1.08,2.46,1.09,0.84,1.69,0.73
b_0,0.73,0.78,0.86,0.74,0.36,0.65,1.31,1.15,1.35,1.22,3.26,1.38,1.44,3.22,1.35,1.34
f_0,0.51,0.41,0.97,0.96,0.62,0.78,1.31,1.14,1.49,1.43,1.36,3.93,1.64,1.38,3.67,1.43
h_0,0.67,1.08,0.8,0.8,0.71,0.63,0.84,1.21,1.2,1.83,1.1,1.25,0.68,1.16,1.33,1.55
a_0,0.77,0.95,0.95,0.74,0.55,0.23,1.47,0.93,1.16,1.38,1.2,1.71,1.41,4.6,1.08,1.6
e_0,0.27,0.65,0.99,0.64,0.93,0.79,1.64,1.14,1.37,1.42,1.75,1.62,1.38,1.46,4.94,1.39
g_0,0.58,0.54,1.46,0.68,0.77,0.66,1.08,0.75,1.34,0.84,1.22,2.25,1.19,1.81,1.46,0.74
