,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.46,32.08,32.41,29.19,32.61,33.53,6.62,8.75,5.56,5.81,7.69,,3.22,7.47,5.98,7.1
e_1,18.71,0.45,40.16,38.12,39.93,49.27,9.72,9.79,6.92,6.67,5.79,6.85,3.75,,8.61,4.04
d_1,31.13,39.26,0.44,40.59,30.03,31.16,8.88,5.68,7.95,,7.24,6.07,4.23,9.55,5.19,3.45
c_1,35.42,34.93,37.63,0.41,37.66,39.21,10.02,11.88,,3.54,9.78,6.63,5.12,9.99,7.4,4.74
b_1,38.11,49.73,26.69,18.36,0.4,38.77,10.25,11.74,6.98,8.07,,7.81,7.09,10.63,7.31,5.11
a_1,46.26,61.04,45.92,40.39,25.48,0.31,12.97,12.11,13.91,10.98,,13.3,6.55,,,5.52
h_1,16.39,17.34,20.23,18.04,18.85,15.33,0.38,4.19,3.68,3.56,2.69,5.26,,2.59,4.21,2.45
g_1,20.7,18.66,25.33,19.59,18.44,27.93,4.6,0.34,3.93,4.0,3.73,6.29,1.95,4.03,3.26,
c_0,16.32,16.53,6.75,,20.92,14.14,5.27,6.21,0.52,3.86,4.05,2.78,1.83,2.28,2.86,2.07
d_0,19.73,9.01,,15.15,12.41,11.81,3.99,6.63,3.19,0.5,2.21,3.09,2.02,5.26,5.47,3.67
b_0,14.21,14.33,18.4,17.12,,,5.81,3.69,1.85,3.49,0.51,2.77,2.36,3.45,3.7,2.11
f_0,,17.47,17.8,19.26,12.91,23.24,3.52,2.7,3.57,4.1,3.04,0.46,2.27,,3.48,1.37
h_0,10.13,12.97,17.07,14.3,17.97,12.26,,4.63,2.47,2.32,2.06,2.01,,,2.91,1.84
e_0,36.96,,17.51,20.07,23.3,,7.35,5.71,3.88,2.88,3.28,,,0.36,3.49,3.48
a_0,31.26,24.99,29.62,24.81,21.4,,3.98,6.37,4.17,5.06,2.04,4.59,3.66,2.63,0.39,2.54
g_0,18.85,15.41,20.54,15.64,15.29,13.83,3.01,,2.57,2.92,3.58,2.72,1.53,2.72,2.75,
