,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,17.29,1.11,0.5,0.52,0.41,0.59,0.77,0.88,0.78,0.81,0.95,0.33,0.87,0.85,0.59,0.84
e_1,0.52,18.29,0.37,0.64,0.58,0.5,0.95,0.72,0.92,2.12,1.08,0.85,1.05,0.89,0.42,0.92
d_1,0.63,0.5,18.13,0.43,0.48,0.6,0.99,0.94,2.05,0.27,1.23,1.36,1.01,1.01,1.02,1.0
c_1,0.41,0.55,0.5,19.67,1.34,0.46,0.68,0.6,0.22,0.82,0.56,0.82,0.85,0.94,0.82,0.91
b_1,0.55,0.4,0.64,0.59,20.48,0.92,0.73,0.73,0.78,0.83,0.32,0.94,0.76,1.08,1.17,1.0
a_1,0.63,0.46,0.61,0.54,0.42,30.45,0.89,0.95,1.02,1.01,0.88,0.92,0.3,1.02,1.1,1.14
h_1,1.08,0.55,0.91,0.6,0.55,0.49,5.97,1.62,1.33,1.11,1.17,1.05,0.96,0.58,1.25,1.68
g_1,0.7,0.48,1.37,0.73,0.52,0.58,0.91,7.69,0.86,0.85,1.27,2.18,1.0,1.18,1.62,0.55
c_0,0.77,0.62,0.84,0.32,0.43,0.8,1.51,1.49,3.83,1.11,3.29,1.41,1.82,1.45,1.3,1.25
d_0,0.68,0.65,0.26,1.72,0.68,0.74,1.6,1.06,0.73,3.55,1.07,1.14,1.09,1.26,1.0,1.06
b_0,0.88,0.68,0.87,0.75,0.26,0.47,1.21,1.25,1.31,1.2,4.04,1.49,3.38,1.51,1.09,1.13
f_0,0.39,0.59,0.83,0.78,0.6,0.76,1.29,1.6,1.35,1.09,1.26,4.07,1.44,1.52,3.18,1.14
a_0,0.78,0.51,1.0,0.71,0.73,0.31,1.48,1.31,1.2,1.03,1.26,1.23,4.73,1.57,1.41,1.21
h_0,1.3,0.59,0.88,0.57,0.51,0.75,0.62,2.05,1.18,1.13,1.42,1.04,1.13,0.66,1.45,1.55
e_0,0.78,0.21,0.92,0.97,0.48,0.71,1.59,1.57,1.02,1.28,1.34,1.44,1.28,1.23,6.74,1.58
g_0,0.54,0.55,1.65,0.68,0.6,0.72,1.39,0.64,1.13,0.8,1.43,2.11,1.24,1.01,1.44,0.64
