,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.83,0.74,0.79,0.78,0.82,0.36,0.55,0.31,0.35,0.35,0.42,0.36,0.25,0.28,0.32
e_1,0.55,0.41,0.85,1.01,0.81,0.87,0.45,0.48,0.37,0.46,0.4,0.43,0.37,0.33,0.63,0.36
d_1,0.94,0.85,0.4,0.87,0.73,0.7,0.42,0.32,0.41,0.51,0.37,0.33,0.33,0.27,0.35,0.22
c_1,0.84,0.68,0.81,0.38,1.02,0.7,0.43,0.43,0.55,0.23,0.33,0.36,0.34,0.31,0.34,0.34
b_1,0.86,0.89,0.92,0.47,0.36,0.89,0.51,0.49,0.45,0.4,0.52,0.38,0.38,0.32,0.37,0.29
a_1,0.9,0.88,0.82,0.9,0.51,0.3,0.45,0.41,0.36,0.38,0.5,0.39,0.75,0.36,0.47,0.34
h_1,0.78,0.69,0.72,0.7,0.64,0.7,0.25,0.42,0.3,0.34,0.33,0.33,0.33,0.38,0.28,0.31
g_1,0.7,0.67,0.82,0.7,0.7,0.76,0.31,0.22,0.38,0.34,0.34,0.36,0.28,0.24,0.34,0.38
c_0,0.78,0.72,0.47,1.01,0.7,0.72,0.48,0.34,0.24,0.44,0.43,0.34,0.34,0.29,0.34,0.32
d_0,0.69,0.44,1.02,0.93,0.79,0.78,0.39,0.41,0.29,0.24,0.3,0.35,0.33,0.28,0.36,0.28
b_0,0.68,0.69,0.62,0.88,0.96,0.87,0.37,0.4,0.2,0.36,0.23,0.33,0.38,0.32,0.38,0.28
f_0,1.03,0.71,0.74,0.68,0.65,0.72,0.39,0.28,0.31,0.3,0.33,0.22,0.31,0.28,0.37,0.19
a_0,0.72,0.7,0.69,0.76,0.83,0.77,0.38,0.37,0.29,0.36,0.2,0.33,0.21,0.31,0.34,0.25
h_0,0.76,0.7,0.73,0.73,0.76,0.65,0.41,0.38,0.33,0.31,0.27,0.31,0.26,0.36,0.28,0.3
e_0,0.98,0.94,0.7,0.73,0.72,0.57,0.42,0.3,0.32,0.31,0.29,0.2,0.31,0.29,0.19,0.25
g_0,0.79,0.73,0.78,0.69,0.82,0.58,0.29,0.48,0.29,0.35,0.31,0.35,0.3,0.23,0.36,0.32
