,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,6.22,3.11,2.8,2.06,2.55,3.04,11.42,11.62,22.37,8.75,16.54,15.28,14.48,20.28,16.82,22.34
f_1,2.6,6.21,4.54,2.91,2.66,2.79,8.81,9.52,10.48,12.91,11.1,9.16,13.39,20.92,9.24,16.58
e_1,2.51,2.7,6.6,3.63,2.89,2.71,9.68,9.25,13.06,22.46,13.79,13.8,15.3,18.84,11.84,20.43
c_1,2.41,2.78,2.62,6.84,5.17,2.91,9.97,9.11,9.4,11.88,10.87,13.66,13.46,20.78,14.3,19.93
b_1,2.8,2.72,2.85,2.92,7.5,5.39,9.25,10.2,10.83,12.95,9.06,13.54,11.39,21.18,13.65,18.64
a_1,3.12,3.05,2.49,2.89,2.73,11.37,9.34,12.13,13.26,12.75,14.29,13.52,10.64,24.65,14.73,17.15
h_1,3.23,3.73,2.75,2.96,2.96,2.74,18.73,13.0,13.19,11.84,14.44,14.52,15.49,16.74,17.86,26.21
g_1,4.18,2.7,2.92,3.16,2.91,2.68,10.56,21.96,15.04,11.32,15.24,20.05,13.38,19.45,17.58,15.32
c_0,3.0,3.39,3.02,2.73,2.54,3.13,12.25,11.65,20.12,14.55,25.22,15.73,20.44,21.44,17.73,22.64
d_0,2.08,2.61,2.84,5.71,3.56,2.67,10.3,10.45,9.96,21.12,14.17,14.78,15.23,23.04,14.71,22.55
b_0,2.88,3.47,3.0,3.43,2.38,2.58,11.98,11.58,13.69,15.6,22.88,17.08,28.21,24.03,19.12,25.36
f_0,3.49,2.65,2.46,3.31,2.98,3.04,12.33,11.99,14.71,13.4,15.54,22.75,17.31,21.11,28.89,25.0
a_0,3.02,3.42,2.95,3.53,3.14,2.23,11.55,11.81,13.4,13.57,13.02,16.47,28.15,24.99,19.02,23.6
h_0,3.04,3.96,3.25,2.77,2.81,2.82,9.04,14.07,14.29,14.07,13.36,13.27,15.3,17.45,15.17,23.02
e_0,3.21,3.2,2.46,3.1,2.87,3.04,13.43,13.07,14.61,13.33,17.8,16.28,21.12,24.78,29.49,23.21
g_0,4.06,2.76,2.82,3.21,2.58,2.94,11.48,8.03,15.35,11.69,14.73,21.7,16.47,19.85,19.15,21.32
