,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.38,1.57,2.08,1.45,1.77,1.72,3.36,5.09,3.14,3.76,3.31,3.9,4.45,3.79,3.69,5.07
f_1,2.29,2.38,1.71,1.61,1.58,1.38,2.7,3.73,3.18,3.42,2.95,2.78,3.98,3.87,3.19,4.25
c_1,1.4,1.64,2.56,1.86,2.56,1.72,3.4,3.0,2.58,2.65,3.0,3.3,4.39,3.21,3.81,4.34
d_1,1.78,1.73,1.31,2.67,1.59,1.74,3.33,2.99,5.52,4.44,3.18,4.0,4.62,3.81,3.7,4.33
b_1,1.53,1.76,1.5,1.68,2.8,2.93,3.45,3.57,3.72,3.39,3.17,3.6,4.51,3.44,3.92,3.87
a_1,1.62,1.94,1.75,1.65,1.36,3.34,3.6,3.47,4.32,4.21,3.6,3.62,5.74,3.75,4.04,5.18
h_1,1.66,2.15,1.66,1.84,1.62,1.53,4.33,3.21,3.85,3.83,4.15,4.04,3.95,3.81,4.05,5.46
d_0,1.47,1.61,2.66,1.58,1.92,1.62,3.59,4.4,2.77,3.45,3.68,3.71,4.52,3.73,4.21,5.26
c_0,1.85,1.83,1.64,1.65,1.41,1.66,3.22,4.13,4.71,5.73,3.95,4.22,5.28,4.67,3.91,4.7
b_0,1.76,1.87,2.07,1.63,1.47,1.27,3.59,3.92,3.69,5.04,4.03,3.84,4.87,6.81,4.28,5.3
g_1,1.6,1.73,1.77,2.21,1.7,1.49,3.43,3.16,3.79,3.71,5.44,4.97,4.18,4.07,4.05,4.51
f_0,1.43,1.73,1.85,1.92,1.7,1.8,3.66,3.72,3.87,3.94,3.97,5.37,5.16,3.83,6.92,4.43
h_0,1.66,2.07,1.77,1.92,1.58,1.45,3.29,3.32,3.5,3.9,4.31,3.68,4.36,4.07,3.75,5.84
a_0,1.78,1.77,2.0,1.83,1.56,1.25,3.79,3.94,3.5,3.16,3.81,3.99,4.49,5.42,4.49,5.09
e_0,1.46,1.94,1.67,2.08,1.79,1.72,3.28,3.3,4.13,4.0,4.06,3.37,5.49,4.13,5.58,4.83
g_0,1.48,1.63,1.75,2.32,1.75,1.56,3.25,3.3,4.03,3.59,3.52,5.46,4.45,3.94,4.15,4.38
