,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,106.26,107.57,92.48,95.9,148.39,423.64,9204.37,22747.2,30123.22,30638.73,41213.87,48824.94,108310.96,104399.59,115915.85,203894.95
e_1,64.95,113.69,118.71,87.62,150.64,468.87,10491.7,24630.21,43434.11,29880.23,43204.01,56951.48,115245.25,111414.49,138635.28,228974.28
c_1,63.56,60.11,134.79,101.54,203.88,483.02,9400.24,21126.2,22065.16,20431.27,28528.57,47859.98,105180.27,98983.42,158161.56,200987.08
d_1,69.94,72.55,73.78,138.78,138.93,441.03,9802.3,17889.09,21597.75,42910.88,43770.58,50679.22,107713.97,126663.25,152043.23,176939.39
b_1,58.69,59.23,69.34,73.72,197.28,626.0,8285.38,18672.13,21430.45,26480.07,28281.93,43266.17,87422.42,87936.28,132773.23,160327.66
a_1,42.67,42.87,52.33,59.44,70.38,519.51,6478.75,11880.79,15344.1,17208.93,24271.1,27364.17,61967.31,54741.02,82647.22,95691.85
h_1,20.92,18.41,24.23,25.61,37.18,102.65,3339.27,6767.39,6842.65,7664.83,9894.93,12493.9,25994.81,28122.57,41645.27,66174.76
g_1,13.15,12.43,18.46,26.05,27.2,94.0,1807.27,6153.6,4919.42,6030.66,7669.9,14057.16,21415.9,24734.22,38539.19,38926.45
d_0,12.42,11.66,27.2,16.99,31.15,86.88,1799.88,4378.03,6222.75,4162.35,7029.82,9774.17,23386.56,19554.25,29679.74,44981.04
c_0,14.49,14.71,16.32,16.51,22.49,96.3,1979.81,4203.67,5490.96,6739.27,11064.09,9791.5,22424.19,25485.05,31688.29,35692.03
b_0,13.12,13.38,17.73,16.39,20.64,71.37,1789.15,3863.44,4632.22,4626.95,8490.54,9110.75,21351.62,29361.37,25604.22,37330.35
f_0,10.22,9.71,15.94,14.66,22.3,81.0,1846.73,3236.36,4759.71,4734.62,5917.98,10661.74,18221.07,16517.64,41293.14,31804.2
h_0,10.48,9.58,12.25,12.83,18.98,57.74,1052.52,3399.47,3145.16,3632.8,4728.1,7250.43,13281.84,14867.43,17612.65,30606.79
a_0,8.93,9.68,11.44,11.57,19.43,56.22,1269.2,2257.51,2797.15,3595.7,4485.32,6278.01,13553.62,18571.67,16091.03,24466.21
e_0,9.03,7.39,9.89,10.09,17.83,54.01,1098.44,2518.79,3043.69,2878.62,4408.5,5532.13,14861.4,12631.48,23709.76,23954.42
g_0,6.96,7.03,9.81,12.9,15.98,51.3,968.07,2352.62,2407.44,3313.72,3990.95,7083.52,11803.41,11894.88,17621.28,19945.41
