,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.45,1.22,0.63,0.75,0.81,0.63,1.5,1.56,1.5,1.55,1.88,0.79,1.51,1.66,1.34,1.92
e_1,0.68,2.45,0.74,0.77,0.72,0.79,1.51,1.6,2.76,1.6,1.71,1.95,1.75,2.21,0.81,2.23
d_1,0.9,0.69,2.59,0.63,0.73,0.69,1.57,2.78,0.72,1.23,1.86,1.82,1.89,2.24,1.86,2.09
c_1,0.77,0.75,0.8,2.61,1.29,0.63,1.29,0.72,1.43,1.38,1.31,1.9,1.66,1.81,1.7,1.55
b_1,0.79,0.78,0.88,0.61,2.69,1.27,1.43,1.55,1.83,1.63,0.77,1.49,1.28,2.15,1.54,2.21
a_1,0.92,0.59,0.84,0.88,0.6,3.14,1.73,1.72,1.72,1.38,1.7,1.55,0.77,2.36,1.99,2.28
h_1,1.2,1.03,0.91,1.1,0.79,0.94,3.87,2.35,2.09,2.53,2.36,2.45,2.61,1.98,2.41,3.21
c_0,1.18,1.07,1.02,0.72,0.95,0.91,1.99,3.54,2.07,2.05,3.71,2.0,3.05,2.74,2.42,2.82
d_0,1.08,0.9,0.68,1.84,0.97,0.9,1.82,1.79,3.6,1.96,2.29,2.41,1.9,2.57,2.63,2.59
g_1,0.78,0.84,1.58,1.13,0.9,1.04,1.42,2.03,1.94,4.22,2.12,2.99,2.42,2.85,2.17,1.88
b_0,0.95,1.04,1.12,1.22,0.54,1.0,1.94,1.94,2.14,2.22,3.82,2.51,4.01,2.95,2.12,2.81
f_0,0.59,0.93,1.02,1.17,1.22,1.13,2.11,2.35,2.0,1.72,2.05,4.0,2.15,2.92,4.28,2.77
a_0,1.28,0.91,1.13,0.92,1.14,0.73,2.21,2.28,2.75,1.83,1.82,2.15,4.44,3.31,2.49,3.13
h_0,1.28,0.97,1.04,1.11,0.84,1.05,1.06,2.24,2.39,2.09,2.37,2.17,2.08,1.81,2.38,3.29
e_0,1.21,0.55,0.91,1.0,1.21,0.99,2.39,2.62,1.92,2.21,2.44,1.97,2.42,3.41,4.84,3.11
g_0,0.92,0.95,1.31,1.31,0.82,1.05,2.08,2.07,1.86,1.36,2.24,2.9,2.01,2.21,2.26,1.79
