,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.07,2.07,3.53,4.12,3.44,2.79,1.18,1.56,1.16,1.03,1.1,0.91,0.66,2.2,0.99,1.0
f_1,4.27,1.07,2.89,3.16,2.98,2.85,1.03,1.45,0.99,0.96,2.24,0.98,0.68,0.88,0.64,0.8
d_1,3.65,3.83,1.07,3.46,3.06,2.94,1.29,0.82,3.02,1.1,0.94,1.14,0.82,0.96,0.6,0.9
c_1,3.23,3.91,4.12,1.07,3.85,3.41,1.26,1.13,0.65,1.59,0.92,0.93,0.72,0.82,0.77,0.82
b_1,3.29,4.12,4.12,2.55,1.07,3.99,1.54,1.48,1.09,1.28,0.9,2.05,1.16,1.01,0.9,1.4
a_1,5.83,6.3,5.75,4.51,3.18,1.07,1.83,2.33,1.61,1.67,1.51,1.44,1.27,1.45,0.96,1.81
h_1,7.95,7.45,7.31,8.39,8.26,5.9,1.38,2.51,2.23,2.0,2.2,2.24,2.47,1.39,1.62,1.51
g_1,8.39,8.97,9.26,9.24,7.72,6.08,2.94,1.37,2.36,1.96,2.7,2.28,1.44,1.92,2.74,1.86
d_0,5.65,11.13,12.07,9.55,8.72,7.63,3.7,3.54,1.68,2.53,2.97,2.34,2.19,2.26,2.27,2.0
c_0,8.66,9.19,6.04,24.01,9.69,7.26,3.77,4.21,3.2,1.68,3.27,3.58,2.28,2.51,2.16,2.46
f_0,8.52,14.96,9.28,9.61,12.86,7.38,3.62,2.49,2.33,2.14,1.61,2.2,2.12,3.31,1.45,2.47
b_0,10.12,8.76,7.93,12.6,18.89,9.07,3.9,3.62,3.6,1.52,3.13,1.63,2.34,2.56,2.98,2.68
h_0,11.66,11.73,12.82,11.94,9.93,11.61,9.87,4.49,3.38,3.29,4.04,3.14,3.77,2.87,3.51,2.58
e_0,20.15,14.77,11.08,13.52,12.32,12.17,5.95,4.66,4.51,3.6,2.02,3.33,3.3,1.62,2.62,2.89
g_0,12.42,16.98,12.06,13.47,15.41,11.42,4.14,6.84,4.03,3.76,4.29,3.64,2.21,3.68,3.97,2.95
a_0,13.27,13.97,12.72,13.64,14.36,16.04,6.07,5.17,4.42,3.65,4.17,2.46,3.63,3.59,3.34,1.72
